country,school_name,area,global_ranking,global_score,enrollment,url,Global_research_reputation,Regional_research_reputation,Publications,Books,Conferences,Normalized_citation_impact,Total citations,Total_number_of_students,Total_number_of_academic_staff,Number_of_international_staff,Number_of_undergraduate_degrees_awarded,Number_of_master's_degrees_awarded,Number_of_doctoral_degrees_awarded,Number_of_research_only_staff,Number_of_new_undergraduate_students,Number_of_new_master's_students,Number_of_new_doctoral_students
United States,Harvard University,Cambridge (U.S.),1,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027,2,2,1,2,94,34,1,"21,887","2,278",528,"1,802","4,922","1,464","2,123","1,658","3,581","1,479"
United States,Massachusetts Institute of Technology (MIT),Cambridge (U.S.),2,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683,1,1,42,34,9,10,13,"11,415","1,392",538,"1,102","1,828",584,"5,116","1,120","1,615",568
United States,Stanford University,Stanford,3,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744,3,3,11,10,24,21,3,"16,164","2,264",797,"1,771","2,378","1,044","3,398","1,698","1,605","1,042"
United States,University of California Berkeley,Berkeley,4,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635,5,5,46,7,30,48,29,"40,921","2,227",562,"9,094","3,315","1,203","1,228","9,075","2,760","1,288"
United Kingdom,University of Oxford,Oxford,5,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637,6,6,7,1,73,74,5,,,,,,,,,,
United States,University of Washington Seattle,Seattle,6,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948,26,26,18,49,86,38,9,"47,727","4,427",749,"8,202","4,349","1,437","2,174","8,854","3,817","2,102"
United States,Columbia University,New York City,7,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150,14,14,24,6,162,58,14,"21,781","4,864","1,159","1,695",,"1,416","1,991","1,392",,920
United Kingdom,University of Cambridge,Cambridge (U.K.),8,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149,4,4,15,3,108,59,10,"20,385","1,785",640,"3,300","2,790","1,055","4,020","3,465","2,785","1,145"
United States,California Institute of Technology,Pasadena,9,85.6,"2,237",https://www.usnews.com/education/best-global-universities/california-institute-of-technology-110404,9,9,196,459,93,24,111,"2,237",363,107,207,101,146,597,235,21,248
United States,Johns Hopkins University,Baltimore,10,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928,19,19,9,30,128,87,8,"17,584","3,778",768,"1,405","6,806",660,"2,867","1,475","3,107",725
United States,Yale University,New Haven,11,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794,10,10,37,21,404,68,24,"13,482","2,268",477,"1,392","2,708",761,"2,215","1,550","1,654",857
United Kingdom,University College London,London (U.K.),12,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693,24,24,5,4,69,76,4,"36,900","3,645","1,425","5,490","9,945","1,235","3,550","5,825","8,790","1,115"
United Kingdom,Imperial College London,London (U.K.),13,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571,16,16,26,99,40,56,15,"18,455","1,655",695,"2,650","4,450",795,"2,345","2,880","3,705",565
United States,University of California Los Angeles,Los Angeles,14,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662,7,7,20,15,91,96,16,"43,289","5,888","1,170","10,218","3,299","1,247",824,"8,932","2,996","1,434"
United States,University of Pennsylvania,Philadelphia,15,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062,17,17,19,27,185,75,12,"21,453","3,403",989,"2,940","4,288","1,280","1,717","2,357","2,998","1,359"
United States,Princeton University,Princeton,16,83.9,N/A,https://www.usnews.com/education/best-global-universities/princeton-university-186131,8,8,176,61,179,30,106,,,,,,,,,,
United States,University of California San Francisco,San Francisco,16,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699,27,27,53,240,1284,37,28,,,,,,,,,,
Canada,University of Toronto,Toronto,18,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968,21,21,3,8,70,149,2,"77,468","3,006","1,070","12,618","6,266","1,640","2,726","13,789","5,869","1,925"
