subject_ranking,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,agricultural-sciences,89,Wageningen University & Research,Netherlands,Wageningen,100,71.3,"15,404",https://www.usnews.com/education/best-global-universities/wageningen-university-research-501112
2,agricultural-sciences,332,China Agricultural University,China,Beijing,96.3,56.9,N/A,https://www.usnews.com/education/best-global-universities/china-agricultural-university-500688
3,agricultural-sciences,598,Jiangnan University,China,Wuxi,93.9,48.3,"29,899",https://www.usnews.com/education/best-global-universities/jiangnan-university-504800
4,agricultural-sciences,219,South China University of Technology,China,Guangzhou,91.7,61.9,"40,082",https://www.usnews.com/education/best-global-universities/south-china-university-of-technology-505115
5,agricultural-sciences,160,University of Massachusetts Amherst,United States,Amherst,88.3,65.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-massachusetts-amherst-166629
6,agricultural-sciences,93,Zhejiang University,China,Hangzhou,87.6,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
7,agricultural-sciences,483,Nanjing Agricultural University,China,Nanjing,87.2,52,"28,184",https://www.usnews.com/education/best-global-universities/nanjing-agricultural-university-506399
8,agricultural-sciences,21,Cornell University,United States,Ithaca,85.4,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
9,agricultural-sciences,73,University of California Davis,United States,Davis,84.9,72.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644
10,agricultural-sciences,120,Universidade de Sao Paulo,Brazil,Sao Paulo,83.8,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
11,agricultural-sciences,36,University of Queensland,Australia,Brisbane,82.4,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
12,agricultural-sciences,590,Northwest A&F University - China,China,Shaanxi,81.6,48.5,N/A,https://www.usnews.com/education/best-global-universities/northwest-af-university-china-503600
13,agricultural-sciences,294,Universidade Estadual de Campinas,Brazil,Campinas,81.1,58.7,"31,199",https://www.usnews.com/education/best-global-universities/universidade-estadual-de-campinas-504975
14,agricultural-sciences,98,University of Florida,United States,Gainesville,80.7,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130
15,agricultural-sciences,745,Nanchang University,China,Nanchang,80.2,44.5,N/A,https://www.usnews.com/education/best-global-universities/nanchang-university-529112
16,agricultural-sciences,501,Huazhong Agricultural University,China,Wuhan,79.6,51.2,N/A,https://www.usnews.com/education/best-global-universities/huazhong-agricultural-university-503034
17,agricultural-sciences,212,University of Valencia,Spain,Valencia,77.5,62.4,"50,575",https://www.usnews.com/education/best-global-universities/university-of-valencia-504510
18,agricultural-sciences,42,University of Copenhagen,Denmark,Copenhagen,76.7,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
19,agricultural-sciences,26,National University of Singapore,Singapore,Singapore,75.8,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
20,agricultural-sciences,95,Ghent University,Belgium,Gent,75.6,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883
21,agricultural-sciences,1,Harvard University,United States,Cambridge (U.S.),75.5,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
22,agricultural-sciences,497,University of Guelph,Canada,Guelph,75.1,51.4,"22,763",https://www.usnews.com/education/best-global-universities/university-of-guelph-499974
23,agricultural-sciences,531,Institut Agro,France,Paris,74.6,50.2,N/A,https://www.usnews.com/education/best-global-universities/institut-agro-530029
24,agricultural-sciences,236,University College Dublin,Ireland,Dublin,74.4,61.2,"23,361",https://www.usnews.com/education/best-global-universities/university-college-dublin-504418
25,agricultural-sciences,74,University of Illinois Urbana-Champaign,United States,Champaign,74.1,72.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-urbana-champaign-145637
26,agricultural-sciences,83,University of Western Australia,Australia,Crawley,73.1,72.2,"18,405",https://www.usnews.com/education/best-global-universities/university-of-western-australia-503979
27,agricultural-sciences,116,Michigan State University,United States,East Lansing,73,68.8,"45,465",https://www.usnews.com/education/best-global-universities/michigan-state-university-171100
28,agricultural-sciences,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,72.3,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
29,agricultural-sciences,140,Purdue University West Lafayette Campus,United States,West Lafayette,72.2,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
30,agricultural-sciences,63,University of Wisconsin Madison,United States,Madison,71.8,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
31,agricultural-sciences,263,Iowa State University,United States,Ames,70.9,60,N/A,https://www.usnews.com/education/best-global-universities/iowa-state-university-153603
32,agricultural-sciences,28,University of Sydney,Australia,Sydney,70.5,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
33,agricultural-sciences,156,University of Milan,Italy,Milan,70.2,65.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-milan-506478
34,agricultural-sciences,122,University of Bologna,Italy,Bologna,69.8,68.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-bologna-502210
35,agricultural-sciences,55,Ohio State University,United States,Columbus,68.9,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
36,agricultural-sciences,547,Universiti Putra Malaysia,Malaysia,Serdang,68.4,49.8,"18,365",https://www.usnews.com/education/best-global-universities/universiti-putra-malaysia-500789
37,agricultural-sciences,702,South China Agricultural University,China,Guangzhou,68.3,45.6,N/A,https://www.usnews.com/education/best-global-universities/south-china-agricultural-university-529032
38,agricultural-sciences,136,University of Alberta,Canada,Edmonton,67.8,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
39,agricultural-sciences,605,University Hohenheim,Germany,Stuttgart,67.7,48.2,N/A,https://www.usnews.com/education/best-global-universities/university-hohenheim-502293
40,agricultural-sciences,328,Washington State University,United States,Pullman,67.7,57.2,"29,463",https://www.usnews.com/education/best-global-universities/washington-state-university-236939
41,agricultural-sciences,356,Swedish University of Agricultural Sciences,Sweden,Uppsala,67.4,55.8,N/A,https://www.usnews.com/education/best-global-universities/swedish-university-of-agricultural-sciences-503091
42,agricultural-sciences,148,Texas A&M University College Station,United States,College Station,67.4,66.5,"62,931",https://www.usnews.com/education/best-global-universities/texas-am-university-college-station-228723
43,agricultural-sciences,844,Jiangsu University,China,Zhenjiang,67.2,42.2,"35,687",https://www.usnews.com/education/best-global-universities/jiangsu-university-501438
44,agricultural-sciences,27,University of Melbourne,Australia,Parkville,67.2,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
45,agricultural-sciences,29,ETH Zurich,Switzerland,Zurich,67.1,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
46,agricultural-sciences,329,University of Tehran,Iran,Tehran,67.1,57.1,"45,295",https://www.usnews.com/education/best-global-universities/university-of-tehran-504903
47,agricultural-sciences,79,Technical University of Munich,Germany,Munich,67,72.6,"33,960",https://www.usnews.com/education/best-global-universities/technical-university-of-munich-503109
48,agricultural-sciences,57,University of Minnesota Twin Cities,United States,Minneapolis,66.9,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
49,agricultural-sciences,143,Rutgers State University New Brunswick,United States,Piscataway Township,66.6,66.8,"46,158",https://www.usnews.com/education/best-global-universities/rutgers-state-university-new-brunswick-186380
50,agricultural-sciences,140,University of Leeds,United Kingdom,Leeds,66.4,66.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-leeds-505265
51,agricultural-sciences,50,KU Leuven,Belgium,Leuven,66.3,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
52,agricultural-sciences,60,Universite Paris Saclay,France,Saint-Aubin,66.3,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
53,agricultural-sciences,185,University of Naples Federico II,Italy,Naples,66.2,63.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-naples-federico-ii-505539
54,agricultural-sciences,163,University of Gottingen,Germany,Gottingen,66,65.7,"30,221",https://www.usnews.com/education/best-global-universities/university-of-gottingen-502609
55,agricultural-sciences,109,Aarhus University,Denmark,Aarhus,65.3,69.1,"26,475",https://www.usnews.com/education/best-global-universities/aarhus-university-502125
56,agricultural-sciences,276,Colorado State University,United States,Fort Collins,65.3,59.4,"29,351",https://www.usnews.com/education/best-global-universities/colorado-state-university-126818
57,agricultural-sciences,35,University of British Columbia,Canada,Vancouver,64.9,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
58,agricultural-sciences,507,Kansas State University,United States,Manhattan,64.8,51,N/A,https://www.usnews.com/education/best-global-universities/kansas-state-university-155399
59,agricultural-sciences,54,McGill University,Canada,Montreal,64.3,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
60,agricultural-sciences,213,King Saud University,Saudi Arabia,Riyadh,63.7,62.3,"33,931",https://www.usnews.com/education/best-global-universities/king-saud-university-503764
61,agricultural-sciences,230,North Carolina State University,United States,Raleigh,63.7,61.5,"31,527",https://www.usnews.com/education/best-global-universities/north-carolina-state-university-199193
62,agricultural-sciences,807,University of Agriculture Faisalabad,Pakistan,Faisalabad,63.6,43,N/A,https://www.usnews.com/education/best-global-universities/university-of-agriculture-faisalabad-529094
63,agricultural-sciences,570,Universitat Politecnica de Valencia,Spain,Valencia,63.4,49.1,"23,607",https://www.usnews.com/education/best-global-universities/universitat-politecnica-de-valencia-501850
64,agricultural-sciences,497,Universidade Estadual Paulista,Brazil,Sao Paulo,63.1,51.4,N/A,https://www.usnews.com/education/best-global-universities/universidade-estadual-paulista-503331
65,agricultural-sciences,409,University of Nebraska Lincoln,United States,Lincoln (U.S.),63.1,54.2,"25,055",https://www.usnews.com/education/best-global-universities/university-of-nebraska-lincoln-181464
66,agricultural-sciences,930,Fujian Agriculture & Forestry University,China,Fuzhou,63,40.2,N/A,https://www.usnews.com/education/best-global-universities/fujian-agriculture-forestry-university-529097
67,agricultural-sciences,84,Pennsylvania State University,United States,University Park,62.8,71.9,"46,863",https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777
68,agricultural-sciences,209,University of Turin,Italy,Turin,62.5,62.5,"58,463",https://www.usnews.com/education/best-global-universities/university-of-turin-502528
69,agricultural-sciences,89,Shanghai Jiao Tong University,China,Shanghai,62.2,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
70,agricultural-sciences,397,University College Cork,Ireland,Cork,62.2,54.5,"18,073",https://www.usnews.com/education/best-global-universities/university-college-cork-502427
71,agricultural-sciences,"1,327",Beijing Technology & Business University,China,Beijing,62.1,31.7,N/A,https://www.usnews.com/education/best-global-universities/beijing-technology-business-university-529734
