ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,artificial-intelligence,23,Tsinghua University,China,Beijing,100,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
2,artificial-intelligence,30,Nanyang Technological University,Singapore,Singapore,97,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
3,artificial-intelligence,53,Chinese University of Hong Kong,Hong Kong,Shatin,91.3,74.7,"18,468",https://www.usnews.com/education/best-global-universities/chinese-university-of-hong-kong-502973
4,artificial-intelligence,112,University of Technology Sydney,Australia,Ultimo,91.3,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
5,artificial-intelligence,26,National University of Singapore,Singapore,Singapore,90.2,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
6,artificial-intelligence,196,Harbin Institute of Technology,China,Harbin,89.3,63.2,N/A,https://www.usnews.com/education/best-global-universities/harbin-institute-of-technology-505604
7,artificial-intelligence,74,University of Adelaide,Australia,Adelaide,88.9,72.8,"23,102",https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
8,artificial-intelligence,231,University of Electronic Science & Technology of China,China,Chengdu,88.1,61.4,"35,232",https://www.usnews.com/education/best-global-universities/university-of-electronic-science-technology-of-china-506780
9,artificial-intelligence,39,Peking University,China,Beijing,87.2,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
10,artificial-intelligence,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,87.1,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
11,artificial-intelligence,109,Huazhong University of Science & Technology,China,Wuhan,86.5,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
12,artificial-intelligence,118,Carnegie Mellon University,United States,Pittsburgh,86,68.7,N/A,https://www.usnews.com/education/best-global-universities/carnegie-mellon-university-211440
