ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,biotechnology-applied-microbiology,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,biotechnology-applied-microbiology,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),90.6,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
3,biotechnology-applied-microbiology,3,Stanford University,United States,Stanford,78.1,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
4,biotechnology-applied-microbiology,20,University of California San Diego,United States,La Jolla,72.8,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
5,biotechnology-applied-microbiology,8,University of Cambridge,United Kingdom,Cambridge (U.K.),71.8,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
6,biotechnology-applied-microbiology,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,70.6,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
7,biotechnology-applied-microbiology,10,Johns Hopkins University,United States,Baltimore,67.9,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
8,biotechnology-applied-microbiology,165,Technical University of Denmark,Denmark,Kongens Lyngby,67.8,65.5,"9,599",https://www.usnews.com/education/best-global-universities/technical-university-of-denmark-503016
9,biotechnology-applied-microbiology,4,University of California Berkeley,United States,Berkeley,67.3,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
10,biotechnology-applied-microbiology,36,University of Queensland,Australia,Brisbane,66.3,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
11,biotechnology-applied-microbiology,16,University of California San Francisco,United States,San Francisco,64.7,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
12,biotechnology-applied-microbiology,196,Harbin Institute of Technology,China,Harbin,64.5,63.2,N/A,https://www.usnews.com/education/best-global-universities/harbin-institute-of-technology-505604
13,biotechnology-applied-microbiology,89,Shanghai Jiao Tong University,China,Shanghai,63.9,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
14,biotechnology-applied-microbiology,15,University of Pennsylvania,United States,Philadelphia,63.4,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
15,biotechnology-applied-microbiology,93,Zhejiang University,China,Hangzhou,63.3,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
16,biotechnology-applied-microbiology,6,University of Washington Seattle,United States,Seattle,62.9,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
17,biotechnology-applied-microbiology,23,Tsinghua University,China,Beijing,62.3,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
18,biotechnology-applied-microbiology,21,Cornell University,United States,Ithaca,62.2,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
19,biotechnology-applied-microbiology,5,University of Oxford,United Kingdom,Oxford,61.2,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
20,biotechnology-applied-microbiology,18,University of Toronto,Canada,Toronto,60.6,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
21,biotechnology-applied-microbiology,136,Baylor College of Medicine,United States,Houston,60.2,67.1,N/A,https://www.usnews.com/education/best-global-universities/baylor-college-of-medicine-223223
22,biotechnology-applied-microbiology,35,University of British Columbia,Canada,Vancouver,60,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
23,biotechnology-applied-microbiology,168,Hunan University,China,Changsha,59.9,65.3,"41,580",https://www.usnews.com/education/best-global-universities/hunan-university-505375
24,biotechnology-applied-microbiology,57,University of Minnesota Twin Cities,United States,Minneapolis,59.8,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
25,biotechnology-applied-microbiology,14,University of California Los Angeles,United States,Los Angeles,59.7,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
26,biotechnology-applied-microbiology,13,Imperial College London,United Kingdom,London (U.K.),59.1,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
27,biotechnology-applied-microbiology,332,China Agricultural University,China,Beijing,58.6,56.9,N/A,https://www.usnews.com/education/best-global-universities/china-agricultural-university-500688
28,biotechnology-applied-microbiology,51,Karolinska Institutet,Sweden,Stockholm,58.6,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
29,biotechnology-applied-microbiology,60,Universite Paris Saclay,France,Saint-Aubin,58.5,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
