ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,cardiac-cardiovascular,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,cardiac-cardiovascular,13,Imperial College London,United Kingdom,London (U.K.),88.4,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
3,cardiac-cardiovascular,7,Columbia University,United States,New York City,86.7,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
4,cardiac-cardiovascular,25,Duke University,United States,"Durham (North Carolina, U.S.)",85.2,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
5,cardiac-cardiovascular,18,University of Toronto,Canada,Toronto,84.2,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
6,cardiac-cardiovascular,74,University of Glasgow,United Kingdom,Glasgow,83.8,72.8,"28,250",https://www.usnews.com/education/best-global-universities/university-of-glasgow-500110
7,cardiac-cardiovascular,46,Icahn School of Medicine at Mount Sinai,United States,New York City,83.7,75.4,N/A,https://www.usnews.com/education/best-global-universities/icahn-school-of-medicine-at-mount-sinai-193405
8,cardiac-cardiovascular,5,University of Oxford,United Kingdom,Oxford,80.9,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
9,cardiac-cardiovascular,87,Free University of Berlin,Germany,Berlin,80,71.7,"36,792",https://www.usnews.com/education/best-global-universities/free-university-of-berlin-502084
10,cardiac-cardiovascular,61,Humboldt University of Berlin,Germany,Berlin,80,74,"34,399",https://www.usnews.com/education/best-global-universities/humboldt-university-of-berlin-506698
11,cardiac-cardiovascular,88,University of Groningen,Netherlands,Groningen,80,71.5,"30,009",https://www.usnews.com/education/best-global-universities/university-of-groningen-500967
12,cardiac-cardiovascular,3,Stanford University,United States,Stanford,79.8,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
13,cardiac-cardiovascular,48,Universite de Paris,France,Paris,79.5,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
14,cardiac-cardiovascular,15,University of Pennsylvania,United States,Philadelphia,78.4,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
15,cardiac-cardiovascular,10,Johns Hopkins University,United States,Baltimore,77.7,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
16,cardiac-cardiovascular,24,Northwestern University,United States,Evanston,77.3,81.2,"18,803",https://www.usnews.com/education/best-global-universities/northwestern-university-147767
17,cardiac-cardiovascular,12,University College London,United Kingdom,London (U.K.),75.4,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
18,cardiac-cardiovascular,6,University of Washington Seattle,United States,Seattle,75.2,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
19,cardiac-cardiovascular,42,University of Copenhagen,Denmark,Copenhagen,75,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
20,cardiac-cardiovascular,156,Universite de Montreal,Canada,Montreal,74.6,65.9,"38,189",https://www.usnews.com/education/best-global-universities/universite-de-montreal-506159
21,cardiac-cardiovascular,39,University of Amsterdam,Netherlands,Amsterdam,74.5,76.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-amsterdam-502957
22,cardiac-cardiovascular,133,University of Texas Southwestern Medical Center Dallas,United States,Dallas,73.8,67.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-southwestern-medical-center-dallas-228635
23,cardiac-cardiovascular,78,Vanderbilt University,United States,Nashville,73.7,72.7,N/A,https://www.usnews.com/education/best-global-universities/vanderbilt-university-221999
24,cardiac-cardiovascular,72,Emory University,United States,Atlanta,73.2,73,"13,190",https://www.usnews.com/education/best-global-universities/emory-university-139658
25,cardiac-cardiovascular,19,University of Michigan,United States,Ann Arbor,73.2,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
