ranking,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,23,Tsinghua University,China,Beijing,100.0,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
2,342,Wuhan University of Technology,China,Wuhan,98.6,56.4,"55,426",https://www.usnews.com/education/best-global-universities/wuhan-university-of-technology-506361
3,168,Hunan University,China,Changsha,98.0,65.3,"41,580",https://www.usnews.com/education/best-global-universities/hunan-university-505375
4,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,91.2,69.0,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
5,844,Jiangsu University,China,Zhenjiang,90.7,42.2,"35,687",https://www.usnews.com/education/best-global-universities/jiangsu-university-501438
6,196,Harbin Institute of Technology,China,Harbin,90.6,63.2,N/A,https://www.usnews.com/education/best-global-universities/harbin-institute-of-technology-505604
7,30,Nanyang Technological University,Singapore,Singapore,90.6,79.0,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
8,311,Soochow University - China,China,Suzhou,89.9,57.9,"49,131",https://www.usnews.com/education/best-global-universities/soochow-university-china-506714
9,219,South China University of Technology,China,Guangzhou,89.0,61.9,"40,082",https://www.usnews.com/education/best-global-universities/south-china-university-of-technology-505115
10,65,King Abdulaziz University,Saudi Arabia,Jeddah,88.2,73.4,N/A,https://www.usnews.com/education/best-global-universities/king-abdulaziz-university-501597
11,26,National University of Singapore,Singapore,Singapore,87.5,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
12,209,Central South University,China,Changsha,86.4,62.5,"56,344",https://www.usnews.com/education/best-global-universities/central-south-university-501467
13,512,China University of Petroleum,China,Qingdao,86.3,50.7,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-petroleum-500186
14,260,Tianjin University,China,Tianjin,86.2,60.2,N/A,https://www.usnews.com/education/best-global-universities/tianjin-university-503557
15,93,Zhejiang University,China,Hangzhou,86.1,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
16,219,Xi'an Jiaotong University,China,Xi'an,85.3,61.9,"44,942",https://www.usnews.com/education/best-global-universities/xian-jiaotong-university-503987
17,102,"University of Science & Technology of China, CAS",China,Hefei,84.6,70.1,"18,573",https://www.usnews.com/education/best-global-universities/university-of-science-technology-of-china-cas-505547
18,89,Shanghai Jiao Tong University,China,Shanghai,84.0,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
19,739,North China Electric Power University,China,Beijing,83.8,44.6,N/A,https://www.usnews.com/education/best-global-universities/north-china-electric-power-university-528965
20,69,Ecole Polytechnique Federale de Lausanne,Switzerland,Lausanne,83.2,73.2,"11,641",https://www.usnews.com/education/best-global-universities/ecole-polytechnique-federale-de-lausanne-501629
21,109,Huazhong University of Science & Technology,China,Wuhan,83.1,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
22,385,Zhengzhou University,China,Zhengzhou,82.5,54.9,N/A,https://www.usnews.com/education/best-global-universities/zhengzhou-university-502623
23,13,Imperial College London,United Kingdom,London (U.K.),82.3,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
24,379,Chongqing University,China,Chongqing,81.9,55.0,"40,696",https://www.usnews.com/education/best-global-universities/chongqing-university-505768
25,570,China University of Mining & Technology,China,Xuzhou,81.6,49.1,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-mining-technology-529045
26,531,Fuzhou University,China,Fuzhou,81.0,50.2,"39,987",https://www.usnews.com/education/best-global-universities/fuzhou-university-528832
27,123,Nanjing University,China,Nanjing,80.7,68.2,"36,426",https://www.usnews.com/education/best-global-universities/nanjing-university-503849
28,196,Tongji University,China,Shanghai,80.6,63.2,"30,153",https://www.usnews.com/education/best-global-universities/tongji-university-501326
29,392,Dalian University of Technology,China,Dalian,80.2,54.7,N/A,https://www.usnews.com/education/best-global-universities/dalian-university-of-technology-500236
30,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),80.0,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
31,271,Shenzhen University,China,Shenzhen,79.9,59.6,"38,240",https://www.usnews.com/education/best-global-universities/shenzhen-university-529041
32,51,Georgia Institute of Technology,United States,Atlanta,79.4,74.9,N/A,https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755
