ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,civil-engineering,196,Tongji University,China,Shanghai,100,63.2,"30,153",https://www.usnews.com/education/best-global-universities/tongji-university-501326
2,civil-engineering,100,Hong Kong Polytechnic University,Hong Kong,Kowloon,92,70.2,"19,046",https://www.usnews.com/education/best-global-universities/hong-kong-polytechnic-university-500421
3,civil-engineering,223,Ton Duc Thang University,Vietnam,Ho Chi Minh City,89.4,61.8,N/A,https://www.usnews.com/education/best-global-universities/ton-duc-thang-university-529637
4,civil-engineering,23,Tsinghua University,China,Beijing,89,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
5,civil-engineering,,University Djillali Liabes Sidi Bel Abbes,Algeria,Sidi Bel Abbes,87.3,N/A,N/A,https://www.usnews.com/education/best-global-universities/university-djillali-liabes-sidi-bel-abbes-513540
6,civil-engineering,234,Southeast University - China,China,Nanjing,86.4,61.3,"37,491",https://www.usnews.com/education/best-global-universities/southeast-university-china-505648
7,civil-engineering,26,National University of Singapore,Singapore,Singapore,79.9,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
8,civil-engineering,379,Universiti Teknologi Malaysia,Malaysia,Johor,79.6,55,"19,974",https://www.usnews.com/education/best-global-universities/universiti-teknologi-malaysia-528827
9,civil-engineering,209,Central South University,China,Changsha,78.4,62.5,"56,344",https://www.usnews.com/education/best-global-universities/central-south-university-501467
10,civil-engineering,400,King Fahd University of Petroleum & Minerals,Saudi Arabia,Dhahran,76.7,54.4,N/A,https://www.usnews.com/education/best-global-universities/king-fahd-university-of-petroleum-minerals-506100
11,civil-engineering,89,Shanghai Jiao Tong University,China,Shanghai,76.6,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
12,civil-engineering,169,Delft University of Technology,Netherlands,Delft,76.1,65.1,N/A,https://www.usnews.com/education/best-global-universities/delft-university-of-technology-505496
13,civil-engineering,168,Hunan University,China,Changsha,75.8,65.3,"41,580",https://www.usnews.com/education/best-global-universities/hunan-university-505375
14,civil-engineering,394,Islamic Azad University,Iran,Tehran,75.3,54.6,N/A,https://www.usnews.com/education/best-global-universities/islamic-azad-university-528829
15,civil-engineering,392,Dalian University of Technology,China,Dalian,73.8,54.7,N/A,https://www.usnews.com/education/best-global-universities/dalian-university-of-technology-500236
16,civil-engineering,196,Harbin Institute of Technology,China,Harbin,73.3,63.2,N/A,https://www.usnews.com/education/best-global-universities/harbin-institute-of-technology-505604
17,civil-engineering,30,Nanyang Technological University,Singapore,Singapore,72,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
18,civil-engineering,379,Chongqing University,China,Chongqing,71.8,55,"40,696",https://www.usnews.com/education/best-global-universities/chongqing-university-505768
19,civil-engineering,653,Southwest Jiaotong University,China,Chengdu,71.8,46.8,"43,541",https://www.usnews.com/education/best-global-universities/southwest-jiaotong-university-528991
20,civil-engineering,989,Chang'an University,China,Xi'an,71.7,39,N/A,https://www.usnews.com/education/best-global-universities/changan-university-529427
21,civil-engineering,55,University of Hong Kong,Hong Kong,Pok Fu Lam,71.5,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
22,civil-engineering,653,Hohai University,China,Nanjing,71.4,46.8,N/A,https://www.usnews.com/education/best-global-universities/hohai-university-528997
23,civil-engineering,93,Zhejiang University,China,Hangzhou,71.4,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
24,civil-engineering,37,University of New South Wales Sydney,Australia,Kensington,71.3,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
25,civil-engineering,37,Monash University,Australia,Clayton,71.1,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
26,civil-engineering,598,Beijing Jiaotong University,China,Beijing,70.6,48.3,N/A,https://www.usnews.com/education/best-global-universities/beijing-jiaotong-university-501352
27,civil-engineering,109,Huazhong University of Science & Technology,China,Wuhan,70.4,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
28,civil-engineering,4,University of California Berkeley,United States,Berkeley,70.1,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
29,civil-engineering,112,University of Technology Sydney,Australia,Ultimo,69,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
30,civil-engineering,160,Curtin University,Australia,Bentley,67.9,65.8,"29,999",https://www.usnews.com/education/best-global-universities/curtin-university-503377
31,civil-engineering,209,Royal Melbourne Institute of Technology (RMIT),Australia,Melbourne (Australia),67.3,62.5,"32,692",https://www.usnews.com/education/best-global-universities/royal-melbourne-institute-of-technology-rmit-503858
32,civil-engineering,148,Texas A&M University College Station,United States,College Station,67.1,66.5,"62,931",https://www.usnews.com/education/best-global-universities/texas-am-university-college-station-228723
33,civil-engineering,202,Universidade de Lisboa,Portugal,Lisbon,66.8,62.9,"48,404",https://www.usnews.com/education/best-global-universities/universidade-de-lisboa-501120
34,civil-engineering,342,Wuhan University of Technology,China,Wuhan,66.7,56.4,"55,426",https://www.usnews.com/education/best-global-universities/wuhan-university-of-technology-506361
35,civil-engineering,260,Tianjin University,China,Tianjin,66.4,60.2,N/A,https://www.usnews.com/education/best-global-universities/tianjin-university-503557
36,civil-engineering,297,Polytechnic University of Milan,Italy,Milan,65.7,58.5,N/A,https://www.usnews.com/education/best-global-universities/polytechnic-university-of-milan-502229
37,civil-engineering,329,University of Tehran,Iran,Tehran,65.6,57.1,"45,295",https://www.usnews.com/education/best-global-universities/university-of-tehran-504903
