ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,condensed-matter-physics,30,Nanyang Technological University,Singapore,Singapore,100,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
2,condensed-matter-physics,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,97.6,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
3,condensed-matter-physics,23,Tsinghua University,China,Beijing,93.7,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
4,condensed-matter-physics,102,"University of Science & Technology of China, CAS",China,Hefei,92.4,70.1,"18,573",https://www.usnews.com/education/best-global-universities/university-of-science-technology-of-china-cas-505547
5,condensed-matter-physics,51,Georgia Institute of Technology,United States,Atlanta,89.8,74.9,N/A,https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755
6,condensed-matter-physics,39,Peking University,China,Beijing,89.3,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
7,condensed-matter-physics,311,Soochow University - China,China,Suzhou,88.6,57.9,"49,131",https://www.usnews.com/education/best-global-universities/soochow-university-china-506714
8,condensed-matter-physics,3,Stanford University,United States,Stanford,85.9,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
9,condensed-matter-physics,93,Zhejiang University,China,Hangzhou,85.8,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
10,condensed-matter-physics,256,Nankai University,China,Nankai,84.8,60.3,"31,322",https://www.usnews.com/education/best-global-universities/nankai-university-505981
11,condensed-matter-physics,26,National University of Singapore,Singapore,Singapore,82.7,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
12,condensed-matter-physics,342,Wuhan University of Technology,China,Wuhan,81.9,56.4,"55,426",https://www.usnews.com/education/best-global-universities/wuhan-university-of-technology-506361
