ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,economics-business,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,economics-business,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),94.5,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
3,economics-business,3,Stanford University,United States,Stanford,92.4,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
4,economics-business,4,University of California Berkeley,United States,Berkeley,91.4,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
5,economics-business,22,University of Chicago,United States,Chicago,89.5,82.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-chicago-144050
6,economics-business,15,University of Pennsylvania,United States,Philadelphia,83.7,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
7,economics-business,236,London School Economics & Political Science,United Kingdom,London (U.K.),82.7,61.2,"11,310",https://www.usnews.com/education/best-global-universities/london-school-economics-political-science-502076
8,economics-business,7,Columbia University,United States,New York City,81.5,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
9,economics-business,31,New York University,United States,New York City,78.5,78.5,"36,337",https://www.usnews.com/education/best-global-universities/new-york-university-193900
10,economics-business,65,Erasmus University Rotterdam,Netherlands,Rotterdam,76.8,73.4,N/A,https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349
11,economics-business,5,University of Oxford,United Kingdom,Oxford,76.8,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
12,economics-business,26,National University of Singapore,Singapore,Singapore,76.5,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
13,economics-business,24,Northwestern University,United States,Evanston,75.3,81.2,"18,803",https://www.usnews.com/education/best-global-universities/northwestern-university-147767
14,economics-business,19,University of Michigan,United States,Ann Arbor,75.3,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
15,economics-business,8,University of Cambridge,United Kingdom,Cambridge (U.K.),75.2,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
16,economics-business,11,Yale University,United States,New Haven,75.2,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
17,economics-business,37,Monash University,Australia,Clayton,74.8,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
18,economics-business,16,Princeton University,United States,Princeton,74.7,83.9,N/A,https://www.usnews.com/education/best-global-universities/princeton-university-186131
19,economics-business,688,Copenhagen Business School,Denmark,Frederiksberg,72.2,46,N/A,https://www.usnews.com/education/best-global-universities/copenhagen-business-school-502092
20,economics-business,544,Bocconi University,Italy,Milan,70,49.9,N/A,https://www.usnews.com/education/best-global-universities/bocconi-university-502370
21,economics-business,80,University of Southern California,United States,Los Angeles,70,72.5,"42,502",https://www.usnews.com/education/best-global-universities/university-of-southern-california-123961
22,economics-business,21,Cornell University,United States,Ithaca,69.9,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
23,economics-business,70,Boston University,United States,Boston,69.2,73.1,"27,243",https://www.usnews.com/education/best-global-universities/boston-university-164988
24,economics-business,730,INSEAD Business School,France,Fontainebleau,68.6,45,N/A,https://www.usnews.com/education/best-global-universities/insead-business-school-501087
25,economics-business,152,Indiana University Bloomington,United States,Bloomington,68.3,66.1,N/A,https://www.usnews.com/education/best-global-universities/indiana-university-bloomington-151351
26,economics-business,156,Arizona State University-Tempe,United States,Tempe,67.3,65.9,"50,027",https://www.usnews.com/education/best-global-universities/arizona-state-university-tempe-104151
27,economics-business,531,Tilburg University,Netherlands,Tilburg,67,50.2,"11,876",https://www.usnews.com/education/best-global-universities/tilburg-university-499980
28,economics-business,25,Duke University,United States,"Durham (North Carolina, U.S.)",66.8,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
29,economics-business,554,London Business School,United Kingdom,London (U.K.),66.6,49.5,N/A,https://www.usnews.com/education/best-global-universities/london-business-school-504845
30,economics-business,163,University of Warwick,United Kingdom,Coventry,66.3,65.7,"23,895",https://www.usnews.com/education/best-global-universities/university-of-warwick-503443
31,economics-business,63,University of Manchester,United Kingdom,Manchester,66,73.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-manchester-500273
32,economics-business,18,University of Toronto,Canada,Toronto,65.9,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
33,economics-business,28,University of Sydney,Australia,Sydney,65.4,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
34,economics-business,39,Peking University,China,Beijing,65,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
35,economics-business,84,Pennsylvania State University,United States,University Park,64.5,71.9,"46,863",https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777
36,economics-business,116,Michigan State University,United States,East Lansing,64.4,68.8,"45,465",https://www.usnews.com/education/best-global-universities/michigan-state-university-171100
37,economics-business,13,Imperial College London,United Kingdom,London (U.K.),64.3,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
38,economics-business,23,Tsinghua University,China,Beijing,64.1,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
39,economics-business,27,University of Melbourne,Australia,Parkville,63.1,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
40,economics-business,,Montpellier Business School,France,Montpellier,63,N/A,N/A,https://www.usnews.com/education/best-global-universities/montpellier-business-school-529984
41,economics-business,12,University College London,United Kingdom,London (U.K.),62.6,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
42,economics-business,57,University of Minnesota Twin Cities,United States,Minneapolis,62.6,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
43,economics-business,100,Hong Kong Polytechnic University,Hong Kong,Kowloon,62.5,70.2,"19,046",https://www.usnews.com/education/best-global-universities/hong-kong-polytechnic-university-500421
44,economics-business,148,Texas A&M University College Station,United States,College Station,62.4,66.5,"62,931",https://www.usnews.com/education/best-global-universities/texas-am-university-college-station-228723
45,economics-business,37,University of New South Wales Sydney,Australia,Kensington,62.3,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
46,economics-business,50,KU Leuven,Belgium,Leuven,62.2,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
47,economics-business,95,Hong Kong University of Science & Technology,Hong Kong,Hong Kong,62.1,70.6,"9,864",https://www.usnews.com/education/best-global-universities/hong-kong-university-of-science-technology-503260
48,economics-business,273,Aalto University,Finland,Esbo,61.8,59.5,"13,306",https://www.usnews.com/education/best-global-universities/aalto-university-503645
49,economics-business,57,University of Maryland College Park,United States,College Park,61.8,74.3,"33,775",https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286
50,economics-business,88,University of Groningen,Netherlands,Groningen,61.3,71.5,"30,009",https://www.usnews.com/education/best-global-universities/university-of-groningen-500967
51,economics-business,14,University of California Los Angeles,United States,Los Angeles,61,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
52,economics-business,53,Chinese University of Hong Kong,Hong Kong,Shatin,60.8,74.7,"18,468",https://www.usnews.com/education/best-global-universities/chinese-university-of-hong-kong-502973
53,economics-business,618,Boston College,United States,Chestnut Hill,60.2,47.9,"12,755",https://www.usnews.com/education/best-global-universities/boston-college-164924
54,economics-business,67,University of Zurich,Switzerland,Zurich,59.7,73.3,"25,255",https://www.usnews.com/education/best-global-universities/university-of-zurich-505287
55,economics-business,82,Vrije Universiteit Amsterdam,Netherlands,Amsterdam,59.6,72.3,N/A,https://www.usnews.com/education/best-global-universities/vrije-universiteit-amsterdam-500669
56,economics-business,39,University of Amsterdam,Netherlands,Amsterdam,59.5,76.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-amsterdam-502957
57,economics-business,,University of St Gallen,Switzerland,St. Gallen,59.2,N/A,N/A,https://www.usnews.com/education/best-global-universities/university-of-st-gallen-504309
58,economics-business,36,University of Queensland,Australia,Brisbane,59.1,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
59,economics-business,55,University of Hong Kong,Hong Kong,Pok Fu Lam,58.6,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
60,economics-business,43,University of Texas Austin,United States,Austin,57.8,75.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-austin-228778
61,economics-business,29,ETH Zurich,Switzerland,Zurich,57.6,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
62,economics-business,182,Lancaster University,United Kingdom,Lancaster,57.6,63.9,"14,665",https://www.usnews.com/education/best-global-universities/lancaster-university-504720
63,economics-business,55,Ohio State University,United States,Columbus,57.6,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
64,economics-business,297,Polytechnic University of Milan,Italy,Milan,57.5,58.5,N/A,https://www.usnews.com/education/best-global-universities/polytechnic-university-of-milan-502229
65,economics-business,120,City University of Hong Kong,Hong Kong,Kowloon,57.4,68.5,"9,099",https://www.usnews.com/education/best-global-universities/city-university-of-hong-kong-502667
66,economics-business,6,University of Washington Seattle,United States,Seattle,57.4,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
67,economics-business,717,Southwestern University of Finance & Economics - China,China,Chengdu,56.9,45.3,N/A,https://www.usnews.com/education/best-global-universities/southwestern-university-of-finance-economics---china-529633
68,economics-business,35,University of British Columbia,Canada,Vancouver,56.8,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
69,economics-business,261,Dartmouth College,United States,Hanover,56.7,60.1,"6,440",https://www.usnews.com/education/best-global-universities/dartmouth-college-182670
70,economics-business,143,Rutgers State University New Brunswick,United States,Piscataway Township,56.7,66.8,"46,158",https://www.usnews.com/education/best-global-universities/rutgers-state-university-new-brunswick-186380
71,economics-business,186,Maastricht University,Netherlands,Maastricht,56.3,63.6,N/A,https://www.usnews.com/education/best-global-universities/maastricht-university-505759
72,economics-business,62,Australian National University,Australia,Canberra,56.2,73.9,"16,758",https://www.usnews.com/education/best-global-universities/australian-national-university-503825
73,economics-business,41,University of North Carolina Chapel Hill,United States,Chapel Hill,56.2,76.7,"30,845",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120
74,economics-business,89,Shanghai Jiao Tong University,China,Shanghai,55.6,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
75,economics-business,74,University of Illinois Urbana-Champaign,United States,Champaign,55.5,72.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-urbana-champaign-145637
76,economics-business,346,University of South Carolina Columbia,United States,Columbia,55.5,56.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-south-carolina-columbia-218663
