ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,education-educational-research,55,University of Hong Kong,Hong Kong,Pok Fu Lam,100,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
2,education-educational-research,116,Michigan State University,United States,East Lansing,87.2,68.8,"45,465",https://www.usnews.com/education/best-global-universities/michigan-state-university-171100
3,education-educational-research,3,Stanford University,United States,Stanford,87,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
4,education-educational-research,12,University College London,United Kingdom,London (U.K.),82.5,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
5,education-educational-research,217,Deakin University,Australia,Burwood,79,62.1,"43,080",https://www.usnews.com/education/best-global-universities/deakin-university-504884
6,education-educational-research,1,Harvard University,United States,Cambridge (U.S.),79,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
7,education-educational-research,37,Monash University,Australia,Clayton,77,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
8,education-educational-research,84,University of California Irvine,United States,Irvine,76.9,71.9,"36,655",https://www.usnews.com/education/best-global-universities/university-of-california-irvine-110653
9,education-educational-research,"1,049",National Taiwan Normal University,Taiwan,Taipei City,76.7,37.6,"10,699",https://www.usnews.com/education/best-global-universities/national-taiwan-normal-university-503050
10,education-educational-research,,Open University Netherlands,Netherlands,Heerlen,76.6,N/A,N/A,https://www.usnews.com/education/best-global-universities/open-university-netherlands-529763
11,education-educational-research,95,Ghent University,Belgium,Gent,75.3,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883
12,education-educational-research,19,University of Michigan,United States,Ann Arbor,75.2,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
13,education-educational-research,78,Vanderbilt University,United States,Nashville,74.6,72.7,N/A,https://www.usnews.com/education/best-global-universities/vanderbilt-university-221999
14,education-educational-research,89,University of Oslo,Norway,Oslo,74.5,71.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-oslo-502680
15,education-educational-research,53,Chinese University of Hong Kong,Hong Kong,Shatin,74,74.7,"18,468",https://www.usnews.com/education/best-global-universities/chinese-university-of-hong-kong-502973
