ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,electrical-electronic-engineering,23,Tsinghua University,China,Beijing,100,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
2,electrical-electronic-engineering,30,Nanyang Technological University,Singapore,Singapore,98.9,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
3,electrical-electronic-engineering,26,National University of Singapore,Singapore,Singapore,97.7,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
4,electrical-electronic-engineering,234,Southeast University - China,China,Nanjing,96.7,61.3,"37,491",https://www.usnews.com/education/best-global-universities/southeast-university-china-505648
5,electrical-electronic-engineering,267,Aalborg University,Denmark,Aalborg,95.7,59.8,"16,818",https://www.usnews.com/education/best-global-universities/aalborg-university-501276
6,electrical-electronic-engineering,231,University of Electronic Science & Technology of China,China,Chengdu,92.9,61.4,"35,232",https://www.usnews.com/education/best-global-universities/university-of-electronic-science-technology-of-china-506780
7,electrical-electronic-engineering,196,Harbin Institute of Technology,China,Harbin,92.6,63.2,N/A,https://www.usnews.com/education/best-global-universities/harbin-institute-of-technology-505604
8,electrical-electronic-engineering,112,University of Technology Sydney,Australia,Ultimo,90.9,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
9,electrical-electronic-engineering,93,Zhejiang University,China,Hangzhou,90.3,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
10,electrical-electronic-engineering,28,University of Sydney,Australia,Sydney,90.2,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
11,electrical-electronic-engineering,109,Huazhong University of Science & Technology,China,Wuhan,89.8,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
12,electrical-electronic-engineering,643,Xidian University,China,Xi'an,88.9,47.1,N/A,https://www.usnews.com/education/best-global-universities/xidian-university-506871
13,electrical-electronic-engineering,333,Northwestern Polytechnical University,China,Xi'an,87.6,56.8,"34,095",https://www.usnews.com/education/best-global-universities/northwestern-polytechnical-university-504154
14,electrical-electronic-engineering,89,Shanghai Jiao Tong University,China,Shanghai,86.8,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
15,electrical-electronic-engineering,253,Beihang University,China,Beijing,86.7,60.5,N/A,https://www.usnews.com/education/best-global-universities/beihang-university-502158
16,electrical-electronic-engineering,298,Beijing Institute of Technology,China,Beijing,84.5,58.4,N/A,https://www.usnews.com/education/best-global-universities/beijing-institute-of-technology-504704
17,electrical-electronic-engineering,16,Princeton University,United States,Princeton,83.5,83.9,N/A,https://www.usnews.com/education/best-global-universities/princeton-university-186131
18,electrical-electronic-engineering,37,University of New South Wales Sydney,Australia,Kensington,83.3,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
19,electrical-electronic-engineering,679,Beijing University of Posts & Telecommunications,China,Beijing,83.2,46.2,N/A,https://www.usnews.com/education/best-global-universities/beijing-university-of-posts-telecommunications-502130
20,electrical-electronic-engineering,120,City University of Hong Kong,Hong Kong,Kowloon,82.8,68.5,"9,099",https://www.usnews.com/education/best-global-universities/city-university-of-hong-kong-502667
21,electrical-electronic-engineering,598,Beijing Jiaotong University,China,Beijing,82.1,48.3,N/A,https://www.usnews.com/education/best-global-universities/beijing-jiaotong-university-501352
22,electrical-electronic-engineering,219,Xi'an Jiaotong University,China,Xi'an,81.9,61.9,"44,942",https://www.usnews.com/education/best-global-universities/xian-jiaotong-university-503987
23,electrical-electronic-engineering,53,Chinese University of Hong Kong,Hong Kong,Shatin,81.5,74.7,"18,468",https://www.usnews.com/education/best-global-universities/chinese-university-of-hong-kong-502973
24,electrical-electronic-engineering,191,University of Waterloo,Canada,Waterloo,81.4,63.5,"34,306",https://www.usnews.com/education/best-global-universities/university-of-waterloo-499966
25,electrical-electronic-engineering,74,University of Adelaide,Australia,Adelaide,80.7,72.8,"23,102",https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
26,electrical-electronic-engineering,150,Wuhan University,China,Wuhan,80.5,66.2,N/A,https://www.usnews.com/education/best-global-universities/wuhan-university-503252
