ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,endocrinology-metabolism,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,endocrinology-metabolism,13,Imperial College London,United Kingdom,London (U.K.),86,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
3,endocrinology-metabolism,42,University of Copenhagen,Denmark,Copenhagen,84.8,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
4,endocrinology-metabolism,5,University of Oxford,United Kingdom,Oxford,84.4,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
5,endocrinology-metabolism,18,University of Toronto,Canada,Toronto,83.5,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
6,endocrinology-metabolism,8,University of Cambridge,United Kingdom,Cambridge (U.K.),83.1,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
7,endocrinology-metabolism,133,University of Texas Southwestern Medical Center Dallas,United States,Dallas,80.3,67.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-southwestern-medical-center-dallas-228635
8,endocrinology-metabolism,11,Yale University,United States,New Haven,79.8,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
9,endocrinology-metabolism,28,University of Sydney,Australia,Sydney,78.2,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
10,endocrinology-metabolism,146,University of Gothenburg,Sweden,Gothenburg,77.6,66.6,"20,901",https://www.usnews.com/education/best-global-universities/university-of-gothenburg-501869
11,endocrinology-metabolism,12,University College London,United Kingdom,London (U.K.),76.7,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
12,endocrinology-metabolism,3,Stanford University,United States,Stanford,76.6,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
13,endocrinology-metabolism,51,Karolinska Institutet,Sweden,Stockholm,75.8,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
14,endocrinology-metabolism,16,University of California San Francisco,United States,San Francisco,75.8,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
15,endocrinology-metabolism,15,University of Pennsylvania,United States,Philadelphia,75.4,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
16,endocrinology-metabolism,25,Duke University,United States,"Durham (North Carolina, U.S.)",75.2,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
17,endocrinology-metabolism,10,Johns Hopkins University,United States,Baltimore,74.3,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
18,endocrinology-metabolism,6,University of Washington Seattle,United States,Seattle,74.2,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
19,endocrinology-metabolism,74,University of Glasgow,United Kingdom,Glasgow,73.7,72.8,"28,250",https://www.usnews.com/education/best-global-universities/university-of-glasgow-500110
20,endocrinology-metabolism,50,KU Leuven,Belgium,Leuven,73.4,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
21,endocrinology-metabolism,33,King's College London,United Kingdom,London (U.K.),72.7,77.9,"29,240",https://www.usnews.com/education/best-global-universities/kings-college-london-500330
22,endocrinology-metabolism,19,University of Michigan,United States,Ann Arbor,72.1,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
23,endocrinology-metabolism,41,University of North Carolina Chapel Hill,United States,Chapel Hill,72.1,76.7,"30,845",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120
24,endocrinology-metabolism,165,Oregon Health & Science University,United States,Portland,71.4,65.5,N/A,https://www.usnews.com/education/best-global-universities/oregon-health-science-university-209490
25,endocrinology-metabolism,104,University of Southampton,United Kingdom,Southampton,71,69.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-southampton-504892
26,endocrinology-metabolism,174,University of Colorado Anschutz Medical Campus,United States,Aurora,70.8,64.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-colorado-anschutz-medical-campus-529678
27,endocrinology-metabolism,421,University of Texas Health San Antonio,United States,San Antonio,70.7,53.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-health-san-antonio-228644
28,endocrinology-metabolism,65,Erasmus University Rotterdam,Netherlands,Rotterdam,70,73.4,N/A,https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349
29,endocrinology-metabolism,20,University of California San Diego,United States,La Jolla,70,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
30,endocrinology-metabolism,134,University of Sheffield,United Kingdom,Sheffield,70,67.3,"27,840",https://www.usnews.com/education/best-global-universities/university-of-sheffield-503922
31,endocrinology-metabolism,7,Columbia University,United States,New York City,69.7,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
