ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,energy-fuels,30,Nanyang Technological University,Singapore,Singapore,100,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
2,energy-fuels,23,Tsinghua University,China,Beijing,99.5,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
3,energy-fuels,3,Stanford University,United States,Stanford,91.1,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
4,energy-fuels,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),87.9,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
5,energy-fuels,109,Huazhong University of Science & Technology,China,Wuhan,86.7,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
6,energy-fuels,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,86.5,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
7,energy-fuels,219,Xi'an Jiaotong University,China,Xi'an,86.2,61.9,"44,942",https://www.usnews.com/education/best-global-universities/xian-jiaotong-university-503987
8,energy-fuels,26,National University of Singapore,Singapore,Singapore,85.4,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
9,energy-fuels,89,Shanghai Jiao Tong University,China,Shanghai,85,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
10,energy-fuels,168,Hunan University,China,Changsha,84.9,65.3,"41,580",https://www.usnews.com/education/best-global-universities/hunan-university-505375
11,energy-fuels,342,Wuhan University of Technology,China,Wuhan,84.1,56.4,"55,426",https://www.usnews.com/education/best-global-universities/wuhan-university-of-technology-506361
12,energy-fuels,219,South China University of Technology,China,Guangzhou,83.2,61.9,"40,082",https://www.usnews.com/education/best-global-universities/south-china-university-of-technology-505115
13,energy-fuels,69,Ecole Polytechnique Federale de Lausanne,Switzerland,Lausanne,83.1,73.2,"11,641",https://www.usnews.com/education/best-global-universities/ecole-polytechnique-federale-de-lausanne-501629
14,energy-fuels,260,Tianjin University,China,Tianjin,82.8,60.2,N/A,https://www.usnews.com/education/best-global-universities/tianjin-university-503557
15,energy-fuels,209,Central South University,China,Changsha,82.5,62.5,"56,344",https://www.usnews.com/education/best-global-universities/central-south-university-501467
16,energy-fuels,385,Zhengzhou University,China,Zhengzhou,82.2,54.9,N/A,https://www.usnews.com/education/best-global-universities/zhengzhou-university-502623
17,energy-fuels,298,Beijing Institute of Technology,China,Beijing,81.5,58.4,N/A,https://www.usnews.com/education/best-global-universities/beijing-institute-of-technology-504704
18,energy-fuels,51,Georgia Institute of Technology,United States,Atlanta,81.1,74.9,N/A,https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755
19,energy-fuels,93,Zhejiang University,China,Hangzhou,80.5,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
20,energy-fuels,37,University of New South Wales Sydney,Australia,Kensington,80.1,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
21,energy-fuels,512,China University of Petroleum,China,Qingdao,80,50.7,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-petroleum-500186
22,energy-fuels,120,City University of Hong Kong,Hong Kong,Kowloon,79.6,68.5,"9,099",https://www.usnews.com/education/best-global-universities/city-university-of-hong-kong-502667
23,energy-fuels,102,"University of Science & Technology of China, CAS",China,Hefei,79.6,70.1,"18,573",https://www.usnews.com/education/best-global-universities/university-of-science-technology-of-china-cas-505547
24,energy-fuels,311,Soochow University - China,China,Suzhou,78.4,57.9,"49,131",https://www.usnews.com/education/best-global-universities/soochow-university-china-506714
25,energy-fuels,13,Imperial College London,United Kingdom,London (U.K.),78.3,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
26,energy-fuels,379,Chongqing University,China,Chongqing,78,55,"40,696",https://www.usnews.com/education/best-global-universities/chongqing-university-505768
27,energy-fuels,112,University of Technology Sydney,Australia,Ultimo,76.2,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
28,energy-fuels,95,King Abdullah University of Science & Technology,Saudi Arabia,Thuwal,75.8,70.6,N/A,https://www.usnews.com/education/best-global-universities/king-abdullah-university-of-science-technology-510489
29,energy-fuels,196,Harbin Institute of Technology,China,Harbin,75.5,63.2,N/A,https://www.usnews.com/education/best-global-universities/harbin-institute-of-technology-505604
30,energy-fuels,191,University of Waterloo,Canada,Waterloo,75.5,63.5,"34,306",https://www.usnews.com/education/best-global-universities/university-of-waterloo-499966
31,energy-fuels,5,University of Oxford,United Kingdom,Oxford,75.1,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
32,energy-fuels,39,Peking University,China,Beijing,75,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
33,energy-fuels,186,University of Wollongong,Australia,Wollongong,74.5,63.6,"19,169",https://www.usnews.com/education/best-global-universities/university-of-wollongong-503195
34,energy-fuels,329,University of Tehran,Iran,Tehran,73.8,57.1,"45,295",https://www.usnews.com/education/best-global-universities/university-of-tehran-504903
35,energy-fuels,739,North China Electric Power University,China,Beijing,73.5,44.6,N/A,https://www.usnews.com/education/best-global-universities/north-china-electric-power-university-528965
36,energy-fuels,4,University of California Berkeley,United States,Berkeley,73.1,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
37,energy-fuels,8,University of Cambridge,United Kingdom,Cambridge (U.K.),73,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
38,energy-fuels,95,Hong Kong University of Science & Technology,Hong Kong,Hong Kong,72.5,70.6,"9,864",https://www.usnews.com/education/best-global-universities/hong-kong-university-of-science-technology-503260
39,energy-fuels,231,University of Electronic Science & Technology of China,China,Chengdu,72.3,61.4,"35,232",https://www.usnews.com/education/best-global-universities/university-of-electronic-science-technology-of-china-506780
40,energy-fuels,394,Islamic Azad University,Iran,Tehran,71.8,54.6,N/A,https://www.usnews.com/education/best-global-universities/islamic-azad-university-528829
41,energy-fuels,226,Universiti Malaya,Malaysia,Kuala Lumpur,71.8,61.6,"18,320",https://www.usnews.com/education/best-global-universities/universiti-malaya-501730
42,energy-fuels,116,Fudan University,China,Shanghai,71.5,68.8,N/A,https://www.usnews.com/education/best-global-universities/fudan-university-500824
43,energy-fuels,57,University of Maryland College Park,United States,College Park,71,74.3,"33,775",https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286
44,energy-fuels,570,China University of Mining & Technology,China,Xuzhou,70.7,49.1,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-mining-technology-529045
45,energy-fuels,267,Aalborg University,Denmark,Aalborg,70.2,59.8,"16,818",https://www.usnews.com/education/best-global-universities/aalborg-university-501276
46,energy-fuels,150,Wuhan University,China,Wuhan,70.1,66.2,N/A,https://www.usnews.com/education/best-global-universities/wuhan-university-503252
47,energy-fuels,100,Hong Kong Polytechnic University,Hong Kong,Kowloon,69.8,70.2,"19,046",https://www.usnews.com/education/best-global-universities/hong-kong-polytechnic-university-500421
48,energy-fuels,844,Jiangsu University,China,Zhenjiang,69.7,42.2,"35,687",https://www.usnews.com/education/best-global-universities/jiangsu-university-501438
49,energy-fuels,165,Technical University of Denmark,Denmark,Kongens Lyngby,69.7,65.5,"9,599",https://www.usnews.com/education/best-global-universities/technical-university-of-denmark-503016
50,energy-fuels,6,University of Washington Seattle,United States,Seattle,68.8,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
51,energy-fuels,123,Nanjing University,China,Nanjing,68.2,68.2,"36,426",https://www.usnews.com/education/best-global-universities/nanjing-university-503849
52,energy-fuels,392,Dalian University of Technology,China,Dalian,67.1,54.7,N/A,https://www.usnews.com/education/best-global-universities/dalian-university-of-technology-500236
