ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,food-science-technology,219,South China University of Technology,China,Guangzhou,100,61.9,"40,082",https://www.usnews.com/education/best-global-universities/south-china-university-of-technology-505115
2,food-science-technology,598,Jiangnan University,China,Wuxi,98.3,48.3,"29,899",https://www.usnews.com/education/best-global-universities/jiangnan-university-504800
3,food-science-technology,160,University of Massachusetts Amherst,United States,Amherst,94.1,65.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-massachusetts-amherst-166629
4,food-science-technology,332,China Agricultural University,China,Beijing,91.4,56.9,N/A,https://www.usnews.com/education/best-global-universities/china-agricultural-university-500688
5,food-science-technology,93,Zhejiang University,China,Hangzhou,91.2,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
6,food-science-technology,89,Wageningen University & Research,Netherlands,Wageningen,88.3,71.3,"15,404",https://www.usnews.com/education/best-global-universities/wageningen-university-research-501112
7,food-science-technology,745,Nanchang University,China,Nanchang,86.5,44.5,N/A,https://www.usnews.com/education/best-global-universities/nanchang-university-529112
8,food-science-technology,844,Jiangsu University,China,Zhenjiang,84.7,42.2,"35,687",https://www.usnews.com/education/best-global-universities/jiangsu-university-501438
9,food-science-technology,36,University of Queensland,Australia,Brisbane,83.8,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
10,food-science-technology,294,Universidade Estadual de Campinas,Brazil,Campinas,81.9,58.7,"31,199",https://www.usnews.com/education/best-global-universities/universidade-estadual-de-campinas-504975
11,food-science-technology,483,Nanjing Agricultural University,China,Nanjing,80.4,52,"28,184",https://www.usnews.com/education/best-global-universities/nanjing-agricultural-university-506399
12,food-science-technology,236,University College Dublin,Ireland,Dublin,80.4,61.2,"23,361",https://www.usnews.com/education/best-global-universities/university-college-dublin-504418
13,food-science-technology,501,Huazhong Agricultural University,China,Wuhan,79.2,51.2,N/A,https://www.usnews.com/education/best-global-universities/huazhong-agricultural-university-503034
14,food-science-technology,590,Northwest A&F University - China,China,Shaanxi,78.4,48.5,N/A,https://www.usnews.com/education/best-global-universities/northwest-af-university-china-503600
15,food-science-technology,212,University of Valencia,Spain,Valencia,78.2,62.4,"50,575",https://www.usnews.com/education/best-global-universities/university-of-valencia-504510
16,food-science-technology,"1,327",Beijing Technology & Business University,China,Beijing,76.3,31.7,N/A,https://www.usnews.com/education/best-global-universities/beijing-technology-business-university-529734
17,food-science-technology,21,Cornell University,United States,Ithaca,75.5,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
18,food-science-technology,120,Universidade de Sao Paulo,Brazil,Sao Paulo,75.3,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
19,food-science-technology,26,National University of Singapore,Singapore,Singapore,74.9,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
20,food-science-technology,930,Fujian Agriculture & Forestry University,China,Fuzhou,74.4,40.2,N/A,https://www.usnews.com/education/best-global-universities/fujian-agriculture-forestry-university-529097
21,food-science-technology,95,Ghent University,Belgium,Gent,73.9,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883
22,food-science-technology,497,University of Guelph,Canada,Guelph,72.8,51.4,"22,763",https://www.usnews.com/education/best-global-universities/university-of-guelph-499974
23,food-science-technology,140,University of Leeds,United Kingdom,Leeds,72,66.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-leeds-505265
24,food-science-technology,"1,155",Northeast Agricultural University - China,China,Harbin,71,35.2,N/A,https://www.usnews.com/education/best-global-universities/northeast-agricultural-university-china-529520
