,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,immunology,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,immunology,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),82.4,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
3,immunology,10,Johns Hopkins University,United States,Baltimore,81.8,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
4,immunology,6,University of Washington Seattle,United States,Seattle,80.1,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
5,immunology,3,Stanford University,United States,Stanford,80,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
6,immunology,16,University of California San Francisco,United States,San Francisco,78.4,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
7,immunology,15,University of Pennsylvania,United States,Philadelphia,78.1,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
8,immunology,103,Rockefeller University,United States,New York City,77.4,70,255,https://www.usnews.com/education/best-global-universities/rockefeller-university-195049
9,immunology,11,Yale University,United States,New Haven,75.4,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
10,immunology,5,University of Oxford,United Kingdom,Oxford,75,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
11,immunology,13,Imperial College London,United Kingdom,London (U.K.),74.8,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
12,immunology,32,Washington University (WUSTL),United States,St. Louis,74,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
13,immunology,48,Universite de Paris,France,Paris,72.5,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
14,immunology,51,Karolinska Institutet,Sweden,Stockholm,71.8,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
15,immunology,27,University of Melbourne,Australia,Parkville,71.8,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
16,immunology,20,University of California San Diego,United States,La Jolla,71.7,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
17,immunology,46,Icahn School of Medicine at Mount Sinai,United States,New York City,71.2,75.4,N/A,https://www.usnews.com/education/best-global-universities/icahn-school-of-medicine-at-mount-sinai-193405
18,immunology,21,Cornell University,United States,Ithaca,70.2,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
19,immunology,12,University College London,United Kingdom,London (U.K.),68.7,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
20,immunology,45,University of Pittsburgh,United States,Pittsburgh,67.4,75.6,"26,575",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293
21,immunology,19,University of Michigan,United States,Ann Arbor,66.8,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
22,immunology,129,London School of Hygiene & Tropical Medicine,United Kingdom,London (U.K.),66.6,67.5,N/A,https://www.usnews.com/education/best-global-universities/london-school-of-hygiene-tropical-medicine-503353
23,immunology,72,Emory University,United States,Atlanta,65.9,73,"13,190",https://www.usnews.com/education/best-global-universities/emory-university-139658
24,immunology,55,University of Hong Kong,Hong Kong,Pok Fu Lam,65.5,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
25,immunology,18,University of Toronto,Canada,Toronto,65,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
26,immunology,47,University of Munich,Germany,Munich,64.8,75.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-munich-500951
27,immunology,61,Humboldt University of Berlin,Germany,Berlin,64.4,74,"34,399",https://www.usnews.com/education/best-global-universities/humboldt-university-of-berlin-506698
28,immunology,65,Erasmus University Rotterdam,Netherlands,Rotterdam,64.1,73.4,N/A,https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349
29,immunology,37,Monash University,Australia,Clayton,63.7,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
