0,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url,,,,,1
1,infectious-diseases,5,University of Oxford,United Kingdom,Oxford,100,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637,,,,,
2,infectious-diseases,1,Harvard University,United States,Cambridge (U.S.),99.3,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027,,,,,
3,infectious-diseases,10,Johns Hopkins University,United States,Baltimore,94.4,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928,,,,,
4,infectious-diseases,129,London School of Hygiene & Tropical Medicine,United Kingdom,London (U.K.),92.1,67.5,N/A,https://www.usnews.com/education/best-global-universities/london-school-of-hygiene-tropical-medicine-503353,,,,,
5,infectious-diseases,55,University of Hong Kong,Hong Kong,Pok Fu Lam,91,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046,,,,,
6,infectious-diseases,13,Imperial College London,United Kingdom,London (U.K.),90.3,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571,,,,,
7,infectious-diseases,6,University of Washington Seattle,United States,Seattle,88.8,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948,,,,,
8,infectious-diseases,12,University College London,United Kingdom,London (U.K.),82.5,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693,,,,,
9,infectious-diseases,16,University of California San Francisco,United States,San Francisco,81.4,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699,,,,,
10,infectious-diseases,48,Universite de Paris,France,Paris,79.5,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677,,,,,
11,infectious-diseases,27,University of Melbourne,Australia,Parkville,76.4,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796,,,,,
12,infectious-diseases,109,Huazhong University of Science & Technology,China,Wuhan,74.1,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190,,,,,
13,infectious-diseases,65,Erasmus University Rotterdam,Netherlands,Rotterdam,73.9,73.4,N/A,https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349,,,,,
14,infectious-diseases,45,University of Pittsburgh,United States,Pittsburgh,73.5,75.6,"26,575",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293,,,,,
15,infectious-diseases,72,Emory University,United States,Atlanta,73.3,73,"13,190",https://www.usnews.com/education/best-global-universities/emory-university-139658,,,,,
16,infectious-diseases,86,University of Barcelona,Spain,Barcelona,72.8,71.8,"45,004",https://www.usnews.com/education/best-global-universities/university-of-barcelona-500261,,,,,
17,infectious-diseases,178,Aix-Marseille Universite,France,Marseille,72.6,64.1,"70,054",https://www.usnews.com/education/best-global-universities/aix-marseille-universite-528917,,,,,
18,infectious-diseases,150,Wuhan University,China,Wuhan,72.6,66.2,N/A,https://www.usnews.com/education/best-global-universities/wuhan-university-503252,,,,,
19,infectious-diseases,41,University of North Carolina Chapel Hill,United States,Chapel Hill,71,76.7,"30,845",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120,,,,,
20,infectious-diseases,146,University of Liverpool,United Kingdom,Liverpool,70.6,66.6,"27,145",https://www.usnews.com/education/best-global-universities/university-of-liverpool-506611,,,,,
21,infectious-diseases,19,University of Michigan,United States,Ann Arbor,70.6,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976,,,,,
22,infectious-diseases,87,Free University of Berlin,Germany,Berlin,70.5,71.7,"36,792",https://www.usnews.com/education/best-global-universities/free-university-of-berlin-502084,,,,,
23,infectious-diseases,44,Utrecht University,Netherlands,Utrecht,69.9,75.7,"32,532",https://www.usnews.com/education/best-global-universities/utrecht-university-505962,,,,,
24,infectious-diseases,125,University of Cape Town,South Africa,Cape Town,69.8,68,"21,069",https://www.usnews.com/education/best-global-universities/university-of-cape-town-504187,,,,,
25,infectious-diseases,51,Karolinska Institutet,Sweden,Stockholm,69.7,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151,,,,,
26,infectious-diseases,18,University of Toronto,Canada,Toronto,68.4,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968,,,,,
27,infectious-diseases,39,University of Amsterdam,Netherlands,Amsterdam,68.3,76.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-amsterdam-502957,,,,,
28,infectious-diseases,15,University of Pennsylvania,United States,Philadelphia,67.7,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062,,,,,
29,infectious-diseases,37,Monash University,Australia,Clayton,67.3,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301,,,,,
30,infectious-diseases,98,University of Florida,United States,Gainesville,67.3,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130,,,,,
31,infectious-diseases,28,University of Sydney,Australia,Sydney,67,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369,,,,,
32,infectious-diseases,54,McGill University,Canada,Montreal,66.5,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986,,,,,
33,infectious-diseases,25,Duke University,United States,"Durham (North Carolina, U.S.)",66,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419,,,,,
34,infectious-diseases,11,Yale University,United States,New Haven,65.9,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794,,,,,
35,infectious-diseases,57,Ruprecht Karls University Heidelberg,Germany,Heidelberg,65.6,74.3,"19,347",https://www.usnews.com/education/best-global-universities/ruprecht-karls-university-heidelberg-506277,,,,,
36,infectious-diseases,36,University of Queensland,Australia,Brisbane,65.3,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164,,,,,
37,infectious-diseases,61,Humboldt University of Berlin,Germany,Berlin,65,74,"34,399",https://www.usnews.com/education/best-global-universities/humboldt-university-of-berlin-506698,,,,,
38,infectious-diseases,14,University of California Los Angeles,United States,Los Angeles,65,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662,,,,,
39,infectious-diseases,37,University of New South Wales Sydney,Australia,Kensington,65,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434,,,,,
40,infectious-diseases,244,University of Witwatersrand,South Africa,Johannesburg,64.6,60.8,"26,871",https://www.usnews.com/education/best-global-universities/university-of-witwatersrand-500909,,,,,
41,infectious-diseases,70,Boston University,United States,Boston,64.5,73.1,"27,243",https://www.usnews.com/education/best-global-universities/boston-university-164988,,,,,
42,infectious-diseases,42,University of Copenhagen,Denmark,Copenhagen,64.4,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710,,,,,
43,infectious-diseases,119,University of Virginia,United States,Charlottesville,64.1,68.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-virginia-234076,,,,,
44,infectious-diseases,93,Zhejiang University,China,Hangzhou,63.7,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773,,,,,
45,infectious-diseases,160,University of Alabama Birmingham,United States,Birmingham (U.S.),63.5,65.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-alabama-birmingham-100663,,,,,
46,infectious-diseases,53,Chinese University of Hong Kong,Hong Kong,Shatin,63.4,74.7,"18,468",https://www.usnews.com/education/best-global-universities/chinese-university-of-hong-kong-502973,,,,,
47,infectious-diseases,561,Liverpool School of Tropical Medicine,United Kingdom,Liverpool,63.4,49.3,N/A,https://www.usnews.com/education/best-global-universities/liverpool-school-of-tropical-medicine-529389,,,,,
48,infectious-diseases,223,University of Antwerp,Belgium,Antwerp,63,61.8,"15,857",https://www.usnews.com/education/best-global-universities/university-of-antwerp-505023,,,,,
49,infectious-diseases,20,University of California San Diego,United States,La Jolla,62.8,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680,,,,,
50,infectious-diseases,116,Fudan University,China,Shanghai,62.6,68.8,N/A,https://www.usnews.com/education/best-global-universities/fudan-university-500824,,,,,
51,infectious-diseases,3,Stanford University,United States,Stanford,62.5,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744,,,,,
52,infectious-diseases,7,Columbia University,United States,New York City,62.2,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150,,,,,
53,infectious-diseases,512,Mahidol University,Thailand,Salaya,62.1,50.7,"28,477",https://www.usnews.com/education/best-global-universities/mahidol-university-503481,,,,,
54,infectious-diseases,150,University of Basel,Switzerland,Basel,62.1,66.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-basel-502059,,,,,
55,infectious-diseases,106,Radboud University Nijmegen,Netherlands,Nijmegen,61.9,69.4,"21,979",https://www.usnews.com/education/best-global-universities/radboud-university-nijmegen-501519,,,,,
56,infectious-diseases,8,University of Cambridge,United Kingdom,Cambridge (U.K.),61.8,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149,,,,,
57,infectious-diseases,194,Universite de Montpellier,France,Montpellier,61.4,63.3,"40,179",https://www.usnews.com/education/best-global-universities/universite-de-montpellier-528813,,,,,
58,infectious-diseases,129,Sun Yat Sen University,China,Guangzhou,60.3,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062,,,,,
59,infectious-diseases,250,National & Kapodistrian University of Athens,Greece,Athens (Greece),59.8,60.6,N/A,https://www.usnews.com/education/best-global-universities/national-kapodistrian-university-of-athens-504988,,,,,
60,infectious-diseases,48,Sorbonne Universite,France,Paris,59.6,75.2,"44,649",https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569,,,,,
61,infectious-diseases,120,Universidade de Sao Paulo,Brazil,Sao Paulo,59.4,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437,,,,,
62,infectious-diseases,57,University of Minnesota Twin Cities,United States,Minneapolis,59.3,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066,,,,,
63,infectious-diseases,107,University of Bern,Switzerland,Bern,58.5,69.3,"11,740",https://www.usnews.com/education/best-global-universities/university-of-bern-505657,,,,,
64,infectious-diseases,35,University of British Columbia,Canada,Vancouver,58.5,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976,,,,,
65,infectious-diseases,26,National University of Singapore,Singapore,Singapore,58.2,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009,,,,,
66,infectious-diseases,34,University of Edinburgh,United Kingdom,Edinburgh,57.8,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832,,,,,
67,infectious-diseases,78,Vanderbilt University,United States,Nashville,57.7,72.7,N/A,https://www.usnews.com/education/best-global-universities/vanderbilt-university-221999,,,,,
68,infectious-diseases,95,Ghent University,Belgium,Gent,57.3,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883,,,,,
69,infectious-diseases,88,University of Groningen,Netherlands,Groningen,57.3,71.5,"30,009",https://www.usnews.com/education/best-global-universities/university-of-groningen-500967,,,,,
70,infectious-diseases,21,Cornell University,United States,Ithaca,57.2,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415,,,,,
71,infectious-diseases,203,National Taiwan University,Taiwan,Taipei,56.6,62.8,"25,215",https://www.usnews.com/education/best-global-universities/national-taiwan-university-504077,,,,,
72,infectious-diseases,286,University of Maryland Baltimore,United States,Baltimore,56.5,59,N/A,https://www.usnews.com/education/best-global-universities/university-of-maryland-baltimore-163259,,,,,
73,infectious-diseases,370,University of Kwazulu Natal,South Africa,Durban,56.3,55.3,"33,855",https://www.usnews.com/education/best-global-universities/university-of-kwazulu-natal-504296,,,,,
74,infectious-diseases,109,University of Geneva,Switzerland,Geneva,56.1,69.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-geneva-504635,,,,,
75,infectious-diseases,244,University of Cologne,Germany,Koln,55.8,60.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-cologne-500060,,,,,
76,infectious-diseases,67,University of Zurich,Switzerland,Zurich,55.8,73.3,"25,255",https://www.usnews.com/education/best-global-universities/university-of-zurich-505287,,,,,
77,infectious-diseases,593,Peking Union Medical College,China,Beijing,54.9,48.4,N/A,https://www.usnews.com/education/best-global-universities/peking-union-medical-college-529794,,,,,
78,infectious-diseases,271,George Washington University,United States,"Washington, D.C.",54.7,59.6,"22,298",https://www.usnews.com/education/best-global-universities/george-washington-university-131469,,,,,
79,infectious-diseases,138,McMaster University,Canada,Hamilton,54.7,67,N/A,https://www.usnews.com/education/best-global-universities/mcmaster-university-502196,,,,,
80,infectious-diseases,136,Baylor College of Medicine,United States,Houston,54.4,67.1,N/A,https://www.usnews.com/education/best-global-universities/baylor-college-of-medicine-223223,,,,,
81,infectious-diseases,152,Case Western Reserve University,United States,Cleveland,53.7,66.1,"10,953",https://www.usnews.com/education/best-global-universities/case-western-reserve-university-201645,,,,,
82,infectious-diseases,174,University of Colorado Anschutz Medical Campus,United States,Aurora,53.2,64.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-colorado-anschutz-medical-campus-529678,,,,,
83,infectious-diseases,50,KU Leuven,Belgium,Leuven,52.5,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785,,,,,
84,infectious-diseases,416,St Georges University London,United Kingdom,London (U.K.),52.2,54,"3,535",https://www.usnews.com/education/best-global-universities/st-georges-university-london-502037,,,,,
85,infectious-diseases,175,Tel Aviv University,Israel,Tel Aviv,52.2,64.2,"23,834",https://www.usnews.com/education/best-global-universities/tel-aviv-university-500052,,,,,
86,infectious-diseases,63,University of Manchester,United Kingdom,Manchester,51.5,73.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-manchester-500273,,,,,
87,infectious-diseases,182,University of Lausanne,Switzerland,Lausanne,50.9,63.9,"13,402",https://www.usnews.com/education/best-global-universities/university-of-lausanne-505144,,,,,
88,infectious-diseases,757,Makerere University,Uganda,Kampala,50.7,44.3,N/A,https://www.usnews.com/education/best-global-universities/makerere-university-528833,,,,,
89,infectious-diseases,74,University of Glasgow,United Kingdom,Glasgow,50.6,72.8,"28,250",https://www.usnews.com/education/best-global-universities/university-of-glasgow-500110,,,,,
90,infectious-diseases,32,Washington University (WUSTL),United States,St. Louis,50.3,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867,,,,,
91,infectious-diseases,39,Peking University,China,Beijing,50.1,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148,,,,,
92,infectious-diseases,247,University of Otago,New Zealand,Dunedin,49.8,60.7,"18,508",https://www.usnews.com/education/best-global-universities/university-of-otago-506723,,,,,
93,infectious-diseases,156,University of Milan,Italy,Milan,49.3,65.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-milan-506478,,,,,
94,infectious-diseases,884,Capital Medical University,China,Beijing,49.2,41.2,N/A,https://www.usnews.com/education/best-global-universities/capital-medical-university-504555,,,,,
95,infectious-diseases,4,University of California Berkeley,United States,Berkeley,49,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635,,,,,
