,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,mechanical-engineering,65,King Abdulaziz University,Saudi Arabia,Jeddah,100,73.4,N/A,https://www.usnews.com/education/best-global-universities/king-abdulaziz-university-501597
2,mechanical-engineering,223,Ton Duc Thang University,Vietnam,Ho Chi Minh City,98.4,61.8,N/A,https://www.usnews.com/education/best-global-universities/ton-duc-thang-university-529637
3,mechanical-engineering,219,Xi'an Jiaotong University,China,Xi'an,97.5,61.9,"44,942",https://www.usnews.com/education/best-global-universities/xian-jiaotong-university-503987
4,mechanical-engineering,394,Islamic Azad University,Iran,Tehran,95,54.6,N/A,https://www.usnews.com/education/best-global-universities/islamic-azad-university-528829
5,mechanical-engineering,23,Tsinghua University,China,Beijing,91.6,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
6,mechanical-engineering,89,Shanghai Jiao Tong University,China,Shanghai,87.6,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
7,mechanical-engineering,317,Duy Tan University,Vietnam,Danang,82.8,57.6,N/A,https://www.usnews.com/education/best-global-universities/duy-tan-university-529795
8,mechanical-engineering,196,Harbin Institute of Technology,China,Harbin,81.2,63.2,N/A,https://www.usnews.com/education/best-global-universities/harbin-institute-of-technology-505604
9,mechanical-engineering,333,Northwestern Polytechnical University,China,Xi'an,80.1,56.8,"34,095",https://www.usnews.com/education/best-global-universities/northwestern-polytechnical-university-504154
10,mechanical-engineering,168,Hunan University,China,Changsha,78.7,65.3,"41,580",https://www.usnews.com/education/best-global-universities/hunan-university-505375
11,mechanical-engineering,598,Babol Noshirvani University of Technology,Iran,Babol,76.9,48.3,"6,180",https://www.usnews.com/education/best-global-universities/babol-noshirvani-university-of-technology-529310
12,mechanical-engineering,109,Huazhong University of Science & Technology,China,Wuhan,76.2,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
13,mechanical-engineering,379,Chongqing University,China,Chongqing,76,55,"40,696",https://www.usnews.com/education/best-global-universities/chongqing-university-505768
14,mechanical-engineering,100,Hong Kong Polytechnic University,Hong Kong,Kowloon,75.9,70.2,"19,046",https://www.usnews.com/education/best-global-universities/hong-kong-polytechnic-university-500421
15,mechanical-engineering,93,Zhejiang University,China,Hangzhou,75.8,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
16,mechanical-engineering,653,Southwest Jiaotong University,China,Chengdu,75.5,46.8,"43,541",https://www.usnews.com/education/best-global-universities/southwest-jiaotong-university-528991
17,mechanical-engineering,209,Central South University,China,Changsha,75.2,62.5,"56,344",https://www.usnews.com/education/best-global-universities/central-south-university-501467
18,mechanical-engineering,253,Beihang University,China,Beijing,75,60.5,N/A,https://www.usnews.com/education/best-global-universities/beihang-university-502158
19,mechanical-engineering,379,Universiti Teknologi Malaysia,Malaysia,Johor,74.4,55,"19,974",https://www.usnews.com/education/best-global-universities/universiti-teknologi-malaysia-528827
20,mechanical-engineering,13,Imperial College London,United Kingdom,London (U.K.),72.1,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
21,mechanical-engineering,260,Tianjin University,China,Tianjin,71.2,60.2,N/A,https://www.usnews.com/education/best-global-universities/tianjin-university-503557
22,mechanical-engineering,392,Dalian University of Technology,China,Dalian,70.7,54.7,N/A,https://www.usnews.com/education/best-global-universities/dalian-university-of-technology-500236
23,mechanical-engineering,186,University of Wollongong,Australia,Wollongong,69.9,63.6,"19,169",https://www.usnews.com/education/best-global-universities/university-of-wollongong-503195
24,mechanical-engineering,196,Tongji University,China,Shanghai,69.5,63.2,"30,153",https://www.usnews.com/education/best-global-universities/tongji-university-501326
25,mechanical-engineering,329,University of Tehran,Iran,Tehran,67.9,57.1,"45,295",https://www.usnews.com/education/best-global-universities/university-of-tehran-504903
26,mechanical-engineering,234,Southeast University - China,China,Nanjing,67,61.3,"37,491",https://www.usnews.com/education/best-global-universities/southeast-university-china-505648
27,mechanical-engineering,298,Beijing Institute of Technology,China,Beijing,65.5,58.4,N/A,https://www.usnews.com/education/best-global-universities/beijing-institute-of-technology-504704
28,mechanical-engineering,219,South China University of Technology,China,Guangzhou,64.9,61.9,"40,082",https://www.usnews.com/education/best-global-universities/south-china-university-of-technology-505115
29,mechanical-engineering,30,Nanyang Technological University,Singapore,Singapore,64.3,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
30,mechanical-engineering,102,"University of Science & Technology of China, CAS",China,Hefei,63.3,70.1,"18,573",https://www.usnews.com/education/best-global-universities/university-of-science-technology-of-china-cas-505547
31,mechanical-engineering,297,Polytechnic University of Milan,Italy,Milan,62.5,58.5,N/A,https://www.usnews.com/education/best-global-universities/polytechnic-university-of-milan-502229
32,mechanical-engineering,633,Amirkabir University of Technology,Iran,Tehran,61.9,47.3,N/A,https://www.usnews.com/education/best-global-universities/amirkabir-university-of-technology-506266
33,mechanical-engineering,37,University of New South Wales Sydney,Australia,Kensington,61.1,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
34,mechanical-engineering,441,University of Science & Technology Beijing,China,Beijing,60.4,53.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-science-technology-beijing-506176
35,mechanical-engineering,140,Purdue University West Lafayette Campus,United States,West Lafayette,60.2,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
36,mechanical-engineering,231,University of Electronic Science & Technology of China,China,Chengdu,60,61.4,"35,232",https://www.usnews.com/education/best-global-universities/university-of-electronic-science-technology-of-china-506780
37,mechanical-engineering,421,Shanghai University,China,Shanghai,59.1,53.9,"37,499",https://www.usnews.com/education/best-global-universities/shanghai-university-504274
38,mechanical-engineering,667,Nanjing University of Aeronautics & Astronautics,China,Nanjing,58.6,46.5,"32,238",https://www.usnews.com/education/best-global-universities/nanjing-university-of-aeronautics-astronautics-500835
39,mechanical-engineering,191,University of Waterloo,Canada,Waterloo,57.1,63.5,"34,306",https://www.usnews.com/education/best-global-universities/university-of-waterloo-499966
40,mechanical-engineering,26,National University of Singapore,Singapore,Singapore,56.9,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
41,mechanical-engineering,570,China University of Mining & Technology,China,Xuzhou,56.8,49.1,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-mining-technology-529045
42,mechanical-engineering,51,Georgia Institute of Technology,United States,Atlanta,56.8,74.9,N/A,https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755
43,mechanical-engineering,28,University of Sydney,Australia,Sydney,56.6,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
44,mechanical-engineering,267,Norwegian University of Science & Technology (NTNU),Norway,Trondheim,56.2,59.8,"37,759",https://www.usnews.com/education/best-global-universities/norwegian-university-of-science-technology-ntnu-503599
45,mechanical-engineering,625,University of Tabriz,Iran,Tabriz,55.7,47.7,"20,983",https://www.usnews.com/education/best-global-universities/university-of-tabriz-528957
46,mechanical-engineering,400,King Fahd University of Petroleum & Minerals,Saudi Arabia,Dhahran,55,54.4,N/A,https://www.usnews.com/education/best-global-universities/king-fahd-university-of-petroleum-minerals-506100
47,mechanical-engineering,145,University of Nottingham,United Kingdom,Nottingham,54.7,66.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-nottingham-503548
48,mechanical-engineering,148,Texas A&M University College Station,United States,College Station,54.6,66.5,"62,931",https://www.usnews.com/education/best-global-universities/texas-am-university-college-station-228723
49,mechanical-engineering,598,Beijing Jiaotong University,China,Beijing,54.5,48.3,N/A,https://www.usnews.com/education/best-global-universities/beijing-jiaotong-university-501352
50,mechanical-engineering,50,KU Leuven,Belgium,Leuven,54.2,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
51,mechanical-engineering,618,Northeastern University - China,China,Shenyang,54,47.9,"39,155",https://www.usnews.com/education/best-global-universities/northeastern-university-china-514931
52,mechanical-engineering,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),53.9,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
53,mechanical-engineering,342,Wuhan University of Technology,China,Wuhan,53.9,56.4,"55,426",https://www.usnews.com/education/best-global-universities/wuhan-university-of-technology-506361
54,mechanical-engineering,304,Sichuan University,China,Chengdu,53.8,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145
55,mechanical-engineering,844,Jiangsu University,China,Zhenjiang,53.6,42.2,"35,687",https://www.usnews.com/education/best-global-universities/jiangsu-university-501438
56,mechanical-engineering,120,City University of Hong Kong,Hong Kong,Kowloon,53.2,68.5,"9,099",https://www.usnews.com/education/best-global-universities/city-university-of-hong-kong-502667
57,mechanical-engineering,95,King Abdullah University of Science & Technology,Saudi Arabia,Thuwal,53.1,70.6,N/A,https://www.usnews.com/education/best-global-universities/king-abdullah-university-of-science-technology-510489
58,mechanical-engineering,165,Technical University of Denmark,Denmark,Kongens Lyngby,52.6,65.5,"9,599",https://www.usnews.com/education/best-global-universities/technical-university-of-denmark-503016
59,mechanical-engineering,19,University of Michigan,United States,Ann Arbor,52.3,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
60,mechanical-engineering,169,Delft University of Technology,Netherlands,Delft,52.1,65.1,N/A,https://www.usnews.com/education/best-global-universities/delft-university-of-technology-505496
61,mechanical-engineering,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,51.8,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
62,mechanical-engineering,74,University of Illinois Urbana-Champaign,United States,Champaign,51.5,72.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-urbana-champaign-145637
63,mechanical-engineering,598,Sharif University of Technology,Iran,Tehran,51,48.3,N/A,https://www.usnews.com/education/best-global-universities/sharif-university-of-technology-502898
64,mechanical-engineering,95,Ghent University,Belgium,Gent,50.9,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883
65,mechanical-engineering,"1,463",Imam Khomeini International University,Iran,Qazvin,50.2,28.6,N/A,https://www.usnews.com/education/best-global-universities/imam-khomeini-international-university-529643
66,mechanical-engineering,112,University of Technology Sydney,Australia,Ultimo,49.9,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
67,mechanical-engineering,512,China University of Petroleum,China,Qingdao,49.3,50.7,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-petroleum-500186
68,mechanical-engineering,708,Tarbiat Modares University,Iran,Tehran,49.2,45.5,N/A,https://www.usnews.com/education/best-global-universities/tarbiat-modares-university-528825
69,mechanical-engineering,653,Hohai University,China,Nanjing,49.1,46.8,N/A,https://www.usnews.com/education/best-global-universities/hohai-university-528997
70,mechanical-engineering,209,Royal Melbourne Institute of Technology (RMIT),Australia,Melbourne (Australia),48.7,62.5,"32,692",https://www.usnews.com/education/best-global-universities/royal-melbourne-institute-of-technology-rmit-503858
71,mechanical-engineering,739,North China Electric Power University,China,Beijing,47.9,44.6,N/A,https://www.usnews.com/education/best-global-universities/north-china-electric-power-university-528965
