,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,meteorology-atmospheric-sciences,7,Columbia University,United States,New York City,100,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
2,meteorology-atmospheric-sciences,70,University of Colorado Boulder,United States,Boulder,99.8,73.1,"34,928",https://www.usnews.com/education/best-global-universities/university-of-colorado-boulder-126614
3,meteorology-atmospheric-sciences,60,Universite Paris Saclay,France,Saint-Aubin,97.5,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
4,meteorology-atmospheric-sciences,29,ETH Zurich,Switzerland,Zurich,95.9,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
5,meteorology-atmospheric-sciences,9,California Institute of Technology,United States,Pasadena,94.7,85.6,"2,237",https://www.usnews.com/education/best-global-universities/california-institute-of-technology-110404
6,meteorology-atmospheric-sciences,48,Universite de Paris,France,Paris,92.5,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
7,meteorology-atmospheric-sciences,84,University of California Irvine,United States,Irvine,91.6,71.9,"36,655",https://www.usnews.com/education/best-global-universities/university-of-california-irvine-110653
8,meteorology-atmospheric-sciences,48,Sorbonne Universite,France,Paris,91.2,75.2,"44,649",https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569
9,meteorology-atmospheric-sciences,23,Tsinghua University,China,Beijing,90.4,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
10,meteorology-atmospheric-sciences,468,Nanjing University of Information Science & Technology,China,Nanjing,89.8,52.6,N/A,https://www.usnews.com/education/best-global-universities/nanjing-university-of-information-science-technology-529160
11,meteorology-atmospheric-sciences,82,Vrije Universiteit Amsterdam,Netherlands,Amsterdam,89.7,72.3,N/A,https://www.usnews.com/education/best-global-universities/vrije-universiteit-amsterdam-500669
12,meteorology-atmospheric-sciences,39,Peking University,China,Beijing,88.6,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
13,meteorology-atmospheric-sciences,57,University of Maryland College Park,United States,College Park,88.6,74.3,"33,775",https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286
14,meteorology-atmospheric-sciences,1,Harvard University,United States,Cambridge (U.S.),87.3,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
15,meteorology-atmospheric-sciences,140,University of Leeds,United Kingdom,Leeds,86.6,66.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-leeds-505265
16,meteorology-atmospheric-sciences,16,Princeton University,United States,Princeton,85.7,83.9,N/A,https://www.usnews.com/education/best-global-universities/princeton-university-186131
17,meteorology-atmospheric-sciences,333,University of Reading,United Kingdom,Reading,85.3,56.8,"16,195",https://www.usnews.com/education/best-global-universities/university-of-reading-504198
18,meteorology-atmospheric-sciences,44,Utrecht University,Netherlands,Utrecht,85.2,75.7,"32,532",https://www.usnews.com/education/best-global-universities/utrecht-university-505962
19,meteorology-atmospheric-sciences,152,University of Exeter,United Kingdom,Exeter,84.8,66.1,"24,940",https://www.usnews.com/education/best-global-universities/university-of-exeter-502021
20,meteorology-atmospheric-sciences,20,University of California San Diego,United States,La Jolla,83.8,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
21,meteorology-atmospheric-sciences,6,University of Washington Seattle,United States,Seattle,82.4,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
22,meteorology-atmospheric-sciences,330,University of East Anglia,United Kingdom,Norwich,82.3,57,"16,245",https://www.usnews.com/education/best-global-universities/university-of-east-anglia-503561
23,meteorology-atmospheric-sciences,5,University of Oxford,United Kingdom,Oxford,82.2,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
24,meteorology-atmospheric-sciences,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,82.1,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
25,meteorology-atmospheric-sciences,89,Wageningen University & Research,Netherlands,Wageningen,80.6,71.3,"15,404",https://www.usnews.com/education/best-global-universities/wageningen-university-research-501112
26,meteorology-atmospheric-sciences,269,Beijing Normal University,China,Beijing,80.5,59.7,N/A,https://www.usnews.com/education/best-global-universities/beijing-normal-university-506588
27,meteorology-atmospheric-sciences,127,Stockholm University,Sweden,Stockholm,80,67.8,N/A,https://www.usnews.com/education/best-global-universities/stockholm-university-505458
28,meteorology-atmospheric-sciences,14,University of California Los Angeles,United States,Los Angeles,79.3,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
29,meteorology-atmospheric-sciences,37,University of New South Wales Sydney,Australia,Kensington,79.2,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
30,meteorology-atmospheric-sciences,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),78.2,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
31,meteorology-atmospheric-sciences,208,University of Vienna,Austria,Vienna,77.4,62.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-vienna-505908
32,meteorology-atmospheric-sciences,226,Karlsruhe Institute of Technology,Germany,Karlsruhe,76.8,61.6,"22,689",https://www.usnews.com/education/best-global-universities/karlsruhe-institute-of-technology-502442
33,meteorology-atmospheric-sciences,123,Nanjing University,China,Nanjing,75.9,68.2,"36,426",https://www.usnews.com/education/best-global-universities/nanjing-university-503849
34,meteorology-atmospheric-sciences,276,Colorado State University,United States,Fort Collins,75,59.4,"29,351",https://www.usnews.com/education/best-global-universities/colorado-state-university-126818
35,meteorology-atmospheric-sciences,99,University of Helsinki,Finland,Helsinki,73.8,70.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-helsinki-501989
36,meteorology-atmospheric-sciences,18,University of Toronto,Canada,Toronto,72.5,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
37,meteorology-atmospheric-sciences,13,Imperial College London,United Kingdom,London (U.K.),72.4,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
38,meteorology-atmospheric-sciences,3,Stanford University,United States,Stanford,71.8,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
39,meteorology-atmospheric-sciences,107,University of Bern,Switzerland,Bern,71.4,69.3,"11,740",https://www.usnews.com/education/best-global-universities/university-of-bern-505657
40,meteorology-atmospheric-sciences,394,University of Hawaii Manoa,United States,Honolulu,69.7,54.6,"14,722",https://www.usnews.com/education/best-global-universities/university-of-hawaii-manoa-141574
41,meteorology-atmospheric-sciences,4,University of California Berkeley,United States,Berkeley,68.9,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
42,meteorology-atmospheric-sciences,51,Georgia Institute of Technology,United States,Atlanta,68.5,74.9,N/A,https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755
43,meteorology-atmospheric-sciences,148,Texas A&M University College Station,United States,College Station,68.5,66.5,"62,931",https://www.usnews.com/education/best-global-universities/texas-am-university-college-station-228723
44,meteorology-atmospheric-sciences,273,University of Tasmania,Australia,Hobart,68.2,59.5,"18,264",https://www.usnews.com/education/best-global-universities/university-of-tasmania-502985
45,meteorology-atmospheric-sciences,186,Universite Grenoble Alpes (UGA),France,Saint-Martin-d'Heres,67.2,63.6,"50,868",https://www.usnews.com/education/best-global-universities/universite-grenoble-alpes-uga-528916
46,meteorology-atmospheric-sciences,63,University of Wisconsin Madison,United States,Madison,67.2,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
47,meteorology-atmospheric-sciences,104,University of Southampton,United Kingdom,Southampton,66.3,69.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-southampton-504892
48,meteorology-atmospheric-sciences,108,University of Arizona,United States,Tucson,66,69.2,"39,797",https://www.usnews.com/education/best-global-universities/university-of-arizona-104179
49,meteorology-atmospheric-sciences,767,University of Alaska Fairbanks,United States,Fairbanks,65.8,44,"2,981",https://www.usnews.com/education/best-global-universities/university-of-alaska-fairbanks-102614
50,meteorology-atmospheric-sciences,112,Lund University,Sweden,Lund,64.7,69,N/A,https://www.usnews.com/education/best-global-universities/lund-university-500083
51,meteorology-atmospheric-sciences,73,University of California Davis,United States,Davis,64.4,72.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644
52,meteorology-atmospheric-sciences,93,University of Bristol,United Kingdom,Bristol,64.2,70.7,"25,660",https://www.usnews.com/education/best-global-universities/university-of-bristol-505342
53,meteorology-atmospheric-sciences,27,University of Melbourne,Australia,Parkville,63.9,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
54,meteorology-atmospheric-sciences,531,University of Bremen,Germany,Bremen,63.7,50.2,"12,635",https://www.usnews.com/education/best-global-universities/university-of-bremen-500777
55,meteorology-atmospheric-sciences,35,University of British Columbia,Canada,Vancouver,63.6,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
56,meteorology-atmospheric-sciences,202,Universidade de Lisboa,Portugal,Lisbon,63.5,62.9,"48,404",https://www.usnews.com/education/best-global-universities/universidade-de-lisboa-501120
57,meteorology-atmospheric-sciences,149,University of Hamburg,Germany,Hamburg,63.5,66.3,"30,676",https://www.usnews.com/education/best-global-universities/university-of-hamburg-501079
58,meteorology-atmospheric-sciences,146,University of Gothenburg,Sweden,Gothenburg,63.3,66.6,"20,901",https://www.usnews.com/education/best-global-universities/university-of-gothenburg-501869
59,meteorology-atmospheric-sciences,169,Delft University of Technology,Netherlands,Delft,63.1,65.1,N/A,https://www.usnews.com/education/best-global-universities/delft-university-of-technology-505496
60,meteorology-atmospheric-sciences,11,Yale University,United States,New Haven,63,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
61,meteorology-atmospheric-sciences,199,University of Bergen,Norway,Bergen,62.6,63,"15,202",https://www.usnews.com/education/best-global-universities/university-of-bergen-500374
62,meteorology-atmospheric-sciences,129,Sun Yat Sen University,China,Guangzhou,61.9,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062
63,meteorology-atmospheric-sciences,19,University of Michigan,United States,Ann Arbor,61.7,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
64,meteorology-atmospheric-sciences,81,University of Tokyo,Japan,Tokyo,61.4,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
65,meteorology-atmospheric-sciences,84,Pennsylvania State University,United States,University Park,59.9,71.9,"46,863",https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777
66,meteorology-atmospheric-sciences,8,University of Cambridge,United Kingdom,Cambridge (U.K.),59.8,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
67,meteorology-atmospheric-sciences,405,State University of New York (SUNY) Albany,United States,Albany,59.2,54.3,"16,090",https://www.usnews.com/education/best-global-universities/state-university-of-new-york-suny-albany-196060
68,meteorology-atmospheric-sciences,25,Duke University,United States,"Durham (North Carolina, U.S.)",59.1,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
69,meteorology-atmospheric-sciences,282,Universite Toulouse III - Paul Sabatier,France,Toulouse,59.1,59.1,N/A,https://www.usnews.com/education/best-global-universities/universite-toulouse-iii-paul-sabatier-503302
70,meteorology-atmospheric-sciences,140,Purdue University West Lafayette Campus,United States,West Lafayette,59,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
71,meteorology-atmospheric-sciences,120,Universidade de Sao Paulo,Brazil,Sao Paulo,58.8,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
72,meteorology-atmospheric-sciences,461,University of Oklahoma - Norman,United States,Norman,58.4,52.9,"26,450",https://www.usnews.com/education/best-global-universities/university-of-oklahoma-norman-207500
73,meteorology-atmospheric-sciences,42,University of Copenhagen,Denmark,Copenhagen,58.2,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
74,meteorology-atmospheric-sciences,89,University of Birmingham,United Kingdom,Birmingham (U.K.),57.7,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
75,meteorology-atmospheric-sciences,47,University of Munich,Germany,Munich,57.7,75.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-munich-500951
76,meteorology-atmospheric-sciences,324,University of Victoria,Canada,Victoria,57.7,57.3,"20,936",https://www.usnews.com/education/best-global-universities/university-of-victoria-499967
77,meteorology-atmospheric-sciences,34,University of Edinburgh,United Kingdom,Edinburgh,57.6,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
78,meteorology-atmospheric-sciences,89,University of Oslo,Norway,Oslo,57.6,71.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-oslo-502680
79,meteorology-atmospheric-sciences,759,University of Maryland Baltimore County,United States,Baltimore,57.4,44.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-maryland-baltimore-county-163268
80,meteorology-atmospheric-sciences,385,Polytechnic University of Catalonia,Spain,Barcelona,57.3,54.9,"22,280",https://www.usnews.com/education/best-global-universities/polytechnic-university-of-catalonia-501701
81,meteorology-atmospheric-sciences,662,Ocean University of China,China,Qingdao,57.2,46.6,N/A,https://www.usnews.com/education/best-global-universities/ocean-university-of-china-502491
82,meteorology-atmospheric-sciences,63,University of Manchester,United Kingdom,Manchester,57,73.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-manchester-500273
83,meteorology-atmospheric-sciences,236,Goethe University Frankfurt,Germany,Frankfurt am Main,56.8,61.2,N/A,https://www.usnews.com/education/best-global-universities/goethe-university-frankfurt-503512
84,meteorology-atmospheric-sciences,280,University of York - UK,United Kingdom,York,56.8,59.2,"17,965",https://www.usnews.com/education/best-global-universities/university-of-york-uk-505776
85,meteorology-atmospheric-sciences,74,University of Illinois Urbana-Champaign,United States,Champaign,56.7,72.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-urbana-champaign-145637
86,meteorology-atmospheric-sciences,57,University of Minnesota Twin Cities,United States,Minneapolis,56.6,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
87,meteorology-atmospheric-sciences,540,Jinan University,China,Guangzhou,56.5,50,N/A,https://www.usnews.com/education/best-global-universities/jinan-university-505051
88,meteorology-atmospheric-sciences,835,Ecole des Ponts ParisTech,France,Marne-la-Vallee,56.3,42.3,N/A,https://www.usnews.com/education/best-global-universities/ecole-des-ponts-paristech-529342
89,meteorology-atmospheric-sciences,12,University College London,United Kingdom,London (U.K.),56.2,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
90,meteorology-atmospheric-sciences,429,University of Innsbruck,Austria,Innsbruck,55.6,53.7,"13,918",https://www.usnews.com/education/best-global-universities/university-of-innsbruck-504813
91,meteorology-atmospheric-sciences,70,Boston University,United States,Boston,55.5,73.1,"27,243",https://www.usnews.com/education/best-global-universities/boston-university-164988
92,meteorology-atmospheric-sciences,118,Carnegie Mellon University,United States,Pittsburgh,55.5,68.7,N/A,https://www.usnews.com/education/best-global-universities/carnegie-mellon-university-211440
93,meteorology-atmospheric-sciences,299,Oregon State University,United States,Corvallis,55.5,58.3,N/A,https://www.usnews.com/education/best-global-universities/oregon-state-university-209542
94,meteorology-atmospheric-sciences,138,University of Bonn,Germany,Bonn,55.3,67,"27,210",https://www.usnews.com/education/best-global-universities/university-of-bonn-504578
95,meteorology-atmospheric-sciences,54,McGill University,Canada,Montreal,54.9,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
96,meteorology-atmospheric-sciences,67,University of California Santa Barbara,United States,Santa Barbara,54.9,73.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-santa-barbara-110705
97,meteorology-atmospheric-sciences,116,Fudan University,China,Shanghai,54.3,68.8,N/A,https://www.usnews.com/education/best-global-universities/fudan-university-500824
98,meteorology-atmospheric-sciences,253,University of Miami,United States,Coral Gables,53.7,60.5,"17,047",https://www.usnews.com/education/best-global-universities/university-of-miami-135726
99,meteorology-atmospheric-sciences,143,Rutgers State University New Brunswick,United States,Piscataway Township,53.6,66.8,"46,158",https://www.usnews.com/education/best-global-universities/rutgers-state-university-new-brunswick-186380
100,meteorology-atmospheric-sciences,37,Monash University,Australia,Clayton,53.5,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
