,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,microbiology,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,microbiology,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),83.2,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
3,microbiology,20,University of California San Diego,United States,La Jolla,81.8,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
4,microbiology,5,University of Oxford,United Kingdom,Oxford,80.6,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
5,microbiology,55,University of Hong Kong,Hong Kong,Pok Fu Lam,75.8,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
6,microbiology,44,Utrecht University,Netherlands,Utrecht,73.2,75.7,"32,532",https://www.usnews.com/education/best-global-universities/utrecht-university-505962
7,microbiology,16,University of California San Francisco,United States,San Francisco,73.1,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
8,microbiology,21,Cornell University,United States,Ithaca,71,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
9,microbiology,3,Stanford University,United States,Stanford,70.8,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
10,microbiology,6,University of Washington Seattle,United States,Seattle,70.7,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
11,microbiology,15,University of Pennsylvania,United States,Philadelphia,70.6,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
12,microbiology,41,University of North Carolina Chapel Hill,United States,Chapel Hill,70.4,76.7,"30,845",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120
13,microbiology,27,University of Melbourne,Australia,Parkville,69.2,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
14,microbiology,10,Johns Hopkins University,United States,Baltimore,68.5,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
15,microbiology,13,Imperial College London,United Kingdom,London (U.K.),68.2,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
16,microbiology,120,Universidade de Sao Paulo,Brazil,Sao Paulo,67.9,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
17,microbiology,32,Washington University (WUSTL),United States,St. Louis,67.2,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
18,microbiology,50,KU Leuven,Belgium,Leuven,66.1,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
19,microbiology,26,National University of Singapore,Singapore,Singapore,65.8,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
20,microbiology,57,University of Minnesota Twin Cities,United States,Minneapolis,65,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
21,microbiology,63,University of Wisconsin Madison,United States,Madison,64.8,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
22,microbiology,667,University of Texas Medical Branch Galveston,United States,Galveston,64.5,46.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-medical-branch-galveston-228653
23,microbiology,36,University of Queensland,Australia,Brisbane,64.2,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
24,microbiology,25,Duke University,United States,"Durham (North Carolina, U.S.)",63.9,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
25,microbiology,4,University of California Berkeley,United States,Berkeley,63.8,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
26,microbiology,11,Yale University,United States,New Haven,63.3,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
27,microbiology,65,Erasmus University Rotterdam,Netherlands,Rotterdam,62.6,73.4,N/A,https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349
28,microbiology,72,Emory University,United States,Atlanta,62.3,73,"13,190",https://www.usnews.com/education/best-global-universities/emory-university-139658
29,microbiology,46,Icahn School of Medicine at Mount Sinai,United States,New York City,62.2,75.4,N/A,https://www.usnews.com/education/best-global-universities/icahn-school-of-medicine-at-mount-sinai-193405
30,microbiology,42,University of Copenhagen,Denmark,Copenhagen,61.6,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
31,microbiology,55,Ohio State University,United States,Columbus,61.3,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
32,microbiology,35,University of British Columbia,Canada,Vancouver,60,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
33,microbiology,67,University of Zurich,Switzerland,Zurich,60,73.3,"25,255",https://www.usnews.com/education/best-global-universities/university-of-zurich-505287
34,microbiology,8,University of Cambridge,United Kingdom,Cambridge (U.K.),59.1,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
35,microbiology,74,Leiden University,Netherlands,Leiden,58.9,72.8,N/A,https://www.usnews.com/education/best-global-universities/leiden-university-503069
36,microbiology,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,58.5,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
37,microbiology,178,Aix-Marseille Universite,France,Marseille,58.2,64.1,"70,054",https://www.usnews.com/education/best-global-universities/aix-marseille-universite-528917
38,microbiology,23,Tsinghua University,China,Beijing,58.2,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
39,microbiology,28,University of Sydney,Australia,Sydney,57,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
40,microbiology,29,ETH Zurich,Switzerland,Zurich,56.8,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
41,microbiology,89,Wageningen University & Research,Netherlands,Wageningen,56.8,71.3,"15,404",https://www.usnews.com/education/best-global-universities/wageningen-university-research-501112
42,microbiology,116,Fudan University,China,Shanghai,56.7,68.8,N/A,https://www.usnews.com/education/best-global-universities/fudan-university-500824
43,microbiology,81,University of Tokyo,Japan,Tokyo,56.7,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
44,microbiology,73,University of California Davis,United States,Davis,56.4,72.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644
45,microbiology,51,Karolinska Institutet,Sweden,Stockholm,56.1,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
46,microbiology,45,University of Pittsburgh,United States,Pittsburgh,55.9,75.6,"26,575",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293
47,microbiology,43,University of Texas Austin,United States,Austin,55.9,75.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-austin-228778
48,microbiology,34,University of Edinburgh,United Kingdom,Edinburgh,55.7,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
49,microbiology,7,Columbia University,United States,New York City,55,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
50,microbiology,31,New York University,United States,New York City,53.9,78.5,"36,337",https://www.usnews.com/education/best-global-universities/new-york-university-193900
51,microbiology,48,Universite de Paris,France,Paris,53.8,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
52,microbiology,14,University of California Los Angeles,United States,Los Angeles,53.4,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
53,microbiology,19,University of Michigan,United States,Ann Arbor,53.3,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
54,microbiology,22,University of Chicago,United States,Chicago,53,82.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-chicago-144050
55,microbiology,37,Monash University,Australia,Clayton,52.8,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
56,microbiology,99,University of Helsinki,Finland,Helsinki,52.5,70.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-helsinki-501989
57,microbiology,60,Universite Paris Saclay,France,Saint-Aubin,52,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
