,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,molecular-biology-genetics,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,molecular-biology-genetics,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),98,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
3,molecular-biology-genetics,3,Stanford University,United States,Stanford,85.3,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
4,molecular-biology-genetics,16,University of California San Francisco,United States,San Francisco,83,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
5,molecular-biology-genetics,6,University of Washington Seattle,United States,Seattle,78.6,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
6,molecular-biology-genetics,15,University of Pennsylvania,United States,Philadelphia,78.2,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
7,molecular-biology-genetics,10,Johns Hopkins University,United States,Baltimore,77.5,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
8,molecular-biology-genetics,20,University of California San Diego,United States,La Jolla,77,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
9,molecular-biology-genetics,21,Cornell University,United States,Ithaca,76.9,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
10,molecular-biology-genetics,8,University of Cambridge,United Kingdom,Cambridge (U.K.),76.8,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
11,molecular-biology-genetics,46,Icahn School of Medicine at Mount Sinai,United States,New York City,75.7,75.4,N/A,https://www.usnews.com/education/best-global-universities/icahn-school-of-medicine-at-mount-sinai-193405
12,molecular-biology-genetics,18,University of Toronto,Canada,Toronto,75.6,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
13,molecular-biology-genetics,32,Washington University (WUSTL),United States,St. Louis,74.8,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
