,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,nanoscience-nanotechnology,30,Nanyang Technological University,Singapore,Singapore,100,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
2,nanoscience-nanotechnology,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,94.6,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
3,nanoscience-nanotechnology,23,Tsinghua University,China,Beijing,94.3,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
4,nanoscience-nanotechnology,311,Soochow University - China,China,Suzhou,90.5,57.9,"49,131",https://www.usnews.com/education/best-global-universities/soochow-university-china-506714
5,nanoscience-nanotechnology,51,Georgia Institute of Technology,United States,Atlanta,87.7,74.9,N/A,https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755
6,nanoscience-nanotechnology,39,Peking University,China,Beijing,87.3,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
7,nanoscience-nanotechnology,102,"University of Science & Technology of China, CAS",China,Hefei,86.6,70.1,"18,573",https://www.usnews.com/education/best-global-universities/university-of-science-technology-of-china-cas-505547
8,nanoscience-nanotechnology,93,Zhejiang University,China,Hangzhou,86.2,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
9,nanoscience-nanotechnology,3,Stanford University,United States,Stanford,86,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
10,nanoscience-nanotechnology,26,National University of Singapore,Singapore,Singapore,84.7,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
11,nanoscience-nanotechnology,342,Wuhan University of Technology,China,Wuhan,83.3,56.4,"55,426",https://www.usnews.com/education/best-global-universities/wuhan-university-of-technology-506361
12,nanoscience-nanotechnology,120,City University of Hong Kong,Hong Kong,Kowloon,82,68.5,"9,099",https://www.usnews.com/education/best-global-universities/city-university-of-hong-kong-502667
13,nanoscience-nanotechnology,109,Huazhong University of Science & Technology,China,Wuhan,81.9,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
14,nanoscience-nanotechnology,260,Tianjin University,China,Tianjin,81.8,60.2,N/A,https://www.usnews.com/education/best-global-universities/tianjin-university-503557
15,nanoscience-nanotechnology,95,King Abdullah University of Science & Technology,Saudi Arabia,Thuwal,78.6,70.6,N/A,https://www.usnews.com/education/best-global-universities/king-abdullah-university-of-science-technology-510489
16,nanoscience-nanotechnology,219,Xi'an Jiaotong University,China,Xi'an,78.6,61.9,"44,942",https://www.usnews.com/education/best-global-universities/xian-jiaotong-university-503987
17,nanoscience-nanotechnology,1,Harvard University,United States,Cambridge (U.S.),78.4,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
18,nanoscience-nanotechnology,385,Zhengzhou University,China,Zhengzhou,77.8,54.9,N/A,https://www.usnews.com/education/best-global-universities/zhengzhou-university-502623
19,nanoscience-nanotechnology,271,Shenzhen University,China,Shenzhen,77.6,59.6,"38,240",https://www.usnews.com/education/best-global-universities/shenzhen-university-529041
20,nanoscience-nanotechnology,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),77.2,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
21,nanoscience-nanotechnology,219,South China University of Technology,China,Guangzhou,76.7,61.9,"40,082",https://www.usnews.com/education/best-global-universities/south-china-university-of-technology-505115
22,nanoscience-nanotechnology,116,Fudan University,China,Shanghai,76.5,68.8,N/A,https://www.usnews.com/education/best-global-universities/fudan-university-500824
23,nanoscience-nanotechnology,89,Shanghai Jiao Tong University,China,Shanghai,76.4,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
24,nanoscience-nanotechnology,186,University of Wollongong,Australia,Wollongong,76.2,63.6,"19,169",https://www.usnews.com/education/best-global-universities/university-of-wollongong-503195
25,nanoscience-nanotechnology,421,Jilin University,China,Changchun,75.9,53.9,N/A,https://www.usnews.com/education/best-global-universities/jilin-university-506709
26,nanoscience-nanotechnology,14,University of California Los Angeles,United States,Los Angeles,75.9,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
27,nanoscience-nanotechnology,256,Nankai University,China,Nankai,74.9,60.3,"31,322",https://www.usnews.com/education/best-global-universities/nankai-university-505981
28,nanoscience-nanotechnology,129,Sun Yat Sen University,China,Guangzhou,74.3,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062
29,nanoscience-nanotechnology,4,University of California Berkeley,United States,Berkeley,73.7,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
30,nanoscience-nanotechnology,209,Central South University,China,Changsha,73.6,62.5,"56,344",https://www.usnews.com/education/best-global-universities/central-south-university-501467
31,nanoscience-nanotechnology,231,University of Electronic Science & Technology of China,China,Chengdu,73.3,61.4,"35,232",https://www.usnews.com/education/best-global-universities/university-of-electronic-science-technology-of-china-506780
32,nanoscience-nanotechnology,253,Beihang University,China,Beijing,73.1,60.5,N/A,https://www.usnews.com/education/best-global-universities/beihang-university-502158
33,nanoscience-nanotechnology,123,Nanjing University,China,Nanjing,73,68.2,"36,426",https://www.usnews.com/education/best-global-universities/nanjing-university-503849
34,nanoscience-nanotechnology,247,Xiamen University,China,Xiamen,72.6,60.7,N/A,https://www.usnews.com/education/best-global-universities/xiamen-university-506410
35,nanoscience-nanotechnology,421,Beijing University of Chemical Technology,China,Beijing,72.5,53.9,N/A,https://www.usnews.com/education/best-global-universities/beijing-university-of-chemical-technology-501098
36,nanoscience-nanotechnology,333,Northwestern Polytechnical University,China,Xi'an,71.6,56.8,"34,095",https://www.usnews.com/education/best-global-universities/northwestern-polytechnical-university-504154
37,nanoscience-nanotechnology,298,Beijing Institute of Technology,China,Beijing,71.5,58.4,N/A,https://www.usnews.com/education/best-global-universities/beijing-institute-of-technology-504704
38,nanoscience-nanotechnology,213,Southern University of Science & Technology,China,Shenzhen,71.2,62.3,N/A,https://www.usnews.com/education/best-global-universities/southern-university-of-science-technology-529428
39,nanoscience-nanotechnology,352,Drexel University,United States,Philadelphia,70.8,56,N/A,https://www.usnews.com/education/best-global-universities/drexel-university-212054
40,nanoscience-nanotechnology,196,Harbin Institute of Technology,China,Harbin,70.7,63.2,N/A,https://www.usnews.com/education/best-global-universities/harbin-institute-of-technology-505604
41,nanoscience-nanotechnology,8,University of Cambridge,United Kingdom,Cambridge (U.K.),69.6,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
42,nanoscience-nanotechnology,95,Hong Kong University of Science & Technology,Hong Kong,Hong Kong,69.4,70.6,"9,864",https://www.usnews.com/education/best-global-universities/hong-kong-university-of-science-technology-503260
43,nanoscience-nanotechnology,618,Nanjing Tech University,China,Nanjing,69,47.9,"38,866",https://www.usnews.com/education/best-global-universities/nanjing-tech-university-501774
44,nanoscience-nanotechnology,441,University of Science & Technology Beijing,China,Beijing,67.1,53.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-science-technology-beijing-506176
45,nanoscience-nanotechnology,304,Sichuan University,China,Chengdu,67,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145
46,nanoscience-nanotechnology,150,Wuhan University,China,Wuhan,66.4,66.2,N/A,https://www.usnews.com/education/best-global-universities/wuhan-university-503252
47,nanoscience-nanotechnology,65,King Abdulaziz University,Saudi Arabia,Jeddah,66.2,73.4,N/A,https://www.usnews.com/education/best-global-universities/king-abdulaziz-university-501597
48,nanoscience-nanotechnology,43,University of Texas Austin,United States,Austin,66,75.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-austin-228778
49,nanoscience-nanotechnology,6,University of Washington Seattle,United States,Seattle,66,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
50,nanoscience-nanotechnology,69,Ecole Polytechnique Federale de Lausanne,Switzerland,Lausanne,65.7,73.2,"11,641",https://www.usnews.com/education/best-global-universities/ecole-polytechnique-federale-de-lausanne-501629
51,nanoscience-nanotechnology,368,Shandong University,China,Jinan,64.7,55.4,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-505166
52,nanoscience-nanotechnology,180,Rice University,United States,Houston,64,64,"7,068",https://www.usnews.com/education/best-global-universities/rice-university-227757
53,nanoscience-nanotechnology,196,Tongji University,China,Shanghai,63.4,63.2,"30,153",https://www.usnews.com/education/best-global-universities/tongji-university-501326
54,nanoscience-nanotechnology,37,University of New South Wales Sydney,Australia,Kensington,63,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
55,nanoscience-nanotechnology,24,Northwestern University,United States,Evanston,62.6,81.2,"18,803",https://www.usnews.com/education/best-global-universities/northwestern-university-147767
56,nanoscience-nanotechnology,36,University of Queensland,Australia,Brisbane,62,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
57,nanoscience-nanotechnology,531,Nanjing University of Science & Technology,China,Nanjing,61.7,50.2,N/A,https://www.usnews.com/education/best-global-universities/nanjing-university-of-science-technology-502308
58,nanoscience-nanotechnology,392,Dalian University of Technology,China,Dalian,61.5,54.7,N/A,https://www.usnews.com/education/best-global-universities/dalian-university-of-technology-500236
59,nanoscience-nanotechnology,688,Donghua University,China,Shanghai,61.3,46,"23,598",https://www.usnews.com/education/best-global-universities/donghua-university-500299
60,nanoscience-nanotechnology,168,Hunan University,China,Changsha,60.8,65.3,"41,580",https://www.usnews.com/education/best-global-universities/hunan-university-505375
61,nanoscience-nanotechnology,282,Korea Advanced Institute of Science & Technology (KAIST),South Korea,Daejeon,60.3,59.1,"9,946",https://www.usnews.com/education/best-global-universities/korea-advanced-institute-of-science-technology-kaist-506336
62,nanoscience-nanotechnology,18,University of Toronto,Canada,Toronto,60.1,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
63,nanoscience-nanotechnology,29,ETH Zurich,Switzerland,Zurich,59.9,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
64,nanoscience-nanotechnology,13,Imperial College London,United Kingdom,London (U.K.),59.9,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
65,nanoscience-nanotechnology,37,Monash University,Australia,Clayton,59.9,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
66,nanoscience-nanotechnology,53,Chinese University of Hong Kong,Hong Kong,Shatin,59.3,74.7,"18,468",https://www.usnews.com/education/best-global-universities/chinese-university-of-hong-kong-502973
67,nanoscience-nanotechnology,100,Hong Kong Polytechnic University,Hong Kong,Kowloon,58.9,70.2,"19,046",https://www.usnews.com/education/best-global-universities/hong-kong-polytechnic-university-500421
68,nanoscience-nanotechnology,234,Southeast University - China,China,Nanjing,58.8,61.3,"37,491",https://www.usnews.com/education/best-global-universities/southeast-university-china-505648
69,nanoscience-nanotechnology,360,Ulsan National Institute of Science & Technology (UNIST),South Korea,Ulsan,58.4,55.7,N/A,https://www.usnews.com/education/best-global-universities/ulsan-national-institute-of-science-technology-unist-528883
70,nanoscience-nanotechnology,203,Griffith University,Australia,Nathan,58.2,62.8,"35,900",https://www.usnews.com/education/best-global-universities/griffith-university-501686
71,nanoscience-nanotechnology,74,University of Adelaide,Australia,Adelaide,58,72.8,"23,102",https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
72,nanoscience-nanotechnology,7,Columbia University,United States,New York City,57.8,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
73,nanoscience-nanotechnology,794,Qingdao University,China,Qingdao,57.7,43.3,"42,809",https://www.usnews.com/education/best-global-universities/qingdao-university-529026
74,nanoscience-nanotechnology,129,Seoul National University (SNU),South Korea,Seoul,57.7,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456
75,nanoscience-nanotechnology,20,University of California San Diego,United States,La Jolla,57.6,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
