,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,neuroscience-behavior,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,neuroscience-behavior,16,University of California San Francisco,United States,San Francisco,89.6,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
3,neuroscience-behavior,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),89,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
4,neuroscience-behavior,3,Stanford University,United States,Stanford,86.1,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
5,neuroscience-behavior,10,Johns Hopkins University,United States,Baltimore,84.5,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
6,neuroscience-behavior,15,University of Pennsylvania,United States,Philadelphia,83.2,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
7,neuroscience-behavior,12,University College London,United Kingdom,London (U.K.),82.8,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
8,neuroscience-behavior,7,Columbia University,United States,New York City,82.2,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
9,neuroscience-behavior,32,Washington University (WUSTL),United States,St. Louis,78.9,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
10,neuroscience-behavior,11,Yale University,United States,New Haven,78.3,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
11,neuroscience-behavior,20,University of California San Diego,United States,La Jolla,78.1,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
12,neuroscience-behavior,14,University of California Los Angeles,United States,Los Angeles,77.2,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
