,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,oncology,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,oncology,10,Johns Hopkins University,United States,Baltimore,83.8,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
3,oncology,21,Cornell University,United States,Ithaca,83.3,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
4,oncology,16,University of California San Francisco,United States,San Francisco,82.4,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
5,oncology,18,University of Toronto,Canada,Toronto,79.4,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
6,oncology,11,Yale University,United States,New Haven,78,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
7,oncology,14,University of California Los Angeles,United States,Los Angeles,77.6,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
8,oncology,60,Universite Paris Saclay,France,Saint-Aubin,76.4,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
9,oncology,78,Vanderbilt University,United States,Nashville,76.2,72.7,N/A,https://www.usnews.com/education/best-global-universities/vanderbilt-university-221999
10,oncology,15,University of Pennsylvania,United States,Philadelphia,75.7,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
11,oncology,6,University of Washington Seattle,United States,Seattle,75.5,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
12,oncology,19,University of Michigan,United States,Ann Arbor,75.2,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
13,oncology,28,University of Sydney,Australia,Sydney,74.9,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
14,oncology,3,Stanford University,United States,Stanford,74.8,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
15,oncology,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),74.7,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
16,oncology,25,Duke University,United States,"Durham (North Carolina, U.S.)",74.5,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
17,oncology,32,Washington University (WUSTL),United States,St. Louis,73.8,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
18,oncology,50,KU Leuven,Belgium,Leuven,73.4,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
19,oncology,48,Universite de Paris,France,Paris,72.2,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
20,oncology,12,University College London,United Kingdom,London (U.K.),72.2,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
