,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,optics,9,California Institute of Technology,United States,Pasadena,100,85.6,"2,237",https://www.usnews.com/education/best-global-universities/california-institute-of-technology-110404
2,optics,1,Harvard University,United States,Cambridge (U.S.),98.7,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
3,optics,3,Stanford University,United States,Stanford,96.7,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
4,optics,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),94.7,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
5,optics,69,Ecole Polytechnique Federale de Lausanne,Switzerland,Lausanne,91.1,73.2,"11,641",https://www.usnews.com/education/best-global-universities/ecole-polytechnique-federale-de-lausanne-501629
6,optics,271,Shenzhen University,China,Shenzhen,91,59.6,"38,240",https://www.usnews.com/education/best-global-universities/shenzhen-university-529041
7,optics,109,Huazhong University of Science & Technology,China,Wuhan,89.7,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
8,optics,93,Zhejiang University,China,Hangzhou,87.9,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
9,optics,62,Australian National University,Australia,Canberra,87.4,73.9,"16,758",https://www.usnews.com/education/best-global-universities/australian-national-university-503825
10,optics,30,Nanyang Technological University,Singapore,Singapore,87.2,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
11,optics,26,National University of Singapore,Singapore,Singapore,86.1,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
12,optics,102,"University of Science & Technology of China, CAS",China,Hefei,83.4,70.1,"18,573",https://www.usnews.com/education/best-global-universities/university-of-science-technology-of-china-cas-505547
13,optics,23,Tsinghua University,China,Beijing,82.7,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
14,optics,60,Universite Paris Saclay,France,Saint-Aubin,82.2,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
15,optics,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,81.5,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
16,optics,4,University of California Berkeley,United States,Berkeley,81.1,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
17,optics,67,University of California Santa Barbara,United States,Santa Barbara,80.6,73.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-santa-barbara-110705
18,optics,14,University of California Los Angeles,United States,Los Angeles,79.7,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
19,optics,120,City University of Hong Kong,Hong Kong,Kowloon,79.5,68.5,"9,099",https://www.usnews.com/education/best-global-universities/city-university-of-hong-kong-502667
20,optics,89,Shanghai Jiao Tong University,China,Shanghai,78.2,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
21,optics,39,Peking University,China,Beijing,77.9,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
22,optics,7,Columbia University,United States,New York City,77.6,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
23,optics,231,University of Electronic Science & Technology of China,China,Chengdu,77,61.4,"35,232",https://www.usnews.com/education/best-global-universities/university-of-electronic-science-technology-of-china-506780
24,optics,413,University of Central Florida,United States,Orlando,76.6,54.1,"62,248",https://www.usnews.com/education/best-global-universities/university-of-central-florida-132903
25,optics,385,Polytechnic University of Catalonia,Spain,Barcelona,76.4,54.9,"22,280",https://www.usnews.com/education/best-global-universities/polytechnic-university-of-catalonia-501701
26,optics,48,Universite de Paris,France,Paris,76.3,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
27,optics,12,University College London,United Kingdom,London (U.K.),75.2,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
28,optics,104,University of Southampton,United Kingdom,Southampton,74.9,69.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-southampton-504892
29,optics,696,ITMO University,Russia,St. Petersburg,74.8,45.8,N/A,https://www.usnews.com/education/best-global-universities/itmo-university-529154
30,optics,123,Nanjing University,China,Nanjing,73.9,68.2,"36,426",https://www.usnews.com/education/best-global-universities/nanjing-university-503849
31,optics,70,University of Colorado Boulder,United States,Boulder,73.8,73.1,"34,928",https://www.usnews.com/education/best-global-universities/university-of-colorado-boulder-126614
32,optics,165,Technical University of Denmark,Denmark,Kongens Lyngby,73.7,65.5,"9,599",https://www.usnews.com/education/best-global-universities/technical-university-of-denmark-503016
33,optics,,Wuhan Donghu University,China,Wuhan,73,N/A,N/A,https://www.usnews.com/education/best-global-universities/wuhan-donghu-university-529901
34,optics,8,University of Cambridge,United Kingdom,Cambridge (U.K.),72.7,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
35,optics,196,Harbin Institute of Technology,China,Harbin,72.6,63.2,N/A,https://www.usnews.com/education/best-global-universities/harbin-institute-of-technology-505604
36,optics,"1,002",Tshwane University of Technology,South Africa,Pretoria,72.5,38.7,N/A,https://www.usnews.com/education/best-global-universities/tshwane-university-of-technology-529469
37,optics,29,ETH Zurich,Switzerland,Zurich,72.4,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
38,optics,234,Southeast University - China,China,Nanjing,70.6,61.3,"37,491",https://www.usnews.com/education/best-global-universities/southeast-university-china-505648
39,optics,74,University of Glasgow,United Kingdom,Glasgow,70.4,72.8,"28,250",https://www.usnews.com/education/best-global-universities/university-of-glasgow-500110
40,optics,5,University of Oxford,United Kingdom,Oxford,70.4,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
41,optics,140,Purdue University West Lafayette Campus,United States,West Lafayette,69.6,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
42,optics,129,Sun Yat Sen University,China,Guangzhou,69.4,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062
