,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,pharmacology-toxicology,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,pharmacology-toxicology,12,University College London,United Kingdom,London (U.K.),87.7,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
3,pharmacology-toxicology,37,Monash University,Australia,Clayton,85.5,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
4,pharmacology-toxicology,10,Johns Hopkins University,United States,Baltimore,82.6,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
5,pharmacology-toxicology,116,Fudan University,China,Shanghai,81.4,68.8,N/A,https://www.usnews.com/education/best-global-universities/fudan-university-500824
6,pharmacology-toxicology,26,National University of Singapore,Singapore,Singapore,81.3,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
7,pharmacology-toxicology,935,China Pharmaceutical University,China,Nanjing,80.9,40.1,"24,270",https://www.usnews.com/education/best-global-universities/china-pharmaceutical-university-502614
8,pharmacology-toxicology,3,Stanford University,United States,Stanford,80.2,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
9,pharmacology-toxicology,44,Utrecht University,Netherlands,Utrecht,79.3,75.7,"32,532",https://www.usnews.com/education/best-global-universities/utrecht-university-505962
10,pharmacology-toxicology,20,University of California San Diego,United States,La Jolla,79.1,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
11,pharmacology-toxicology,41,University of North Carolina Chapel Hill,United States,Chapel Hill,79.1,76.7,"30,845",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120
12,pharmacology-toxicology,42,University of Copenhagen,Denmark,Copenhagen,78.8,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
13,pharmacology-toxicology,39,Peking University,China,Beijing,78.6,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
14,pharmacology-toxicology,145,University of Nottingham,United Kingdom,Nottingham,78.6,66.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-nottingham-503548
15,pharmacology-toxicology,93,Zhejiang University,China,Hangzhou,78.4,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
16,pharmacology-toxicology,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),78,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
17,pharmacology-toxicology,51,Karolinska Institutet,Sweden,Stockholm,77.6,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
18,pharmacology-toxicology,89,Shanghai Jiao Tong University,China,Shanghai,77.3,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
19,pharmacology-toxicology,129,Sun Yat Sen University,China,Guangzhou,76.1,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062
20,pharmacology-toxicology,16,University of California San Francisco,United States,San Francisco,75.9,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
21,pharmacology-toxicology,13,Imperial College London,United Kingdom,London (U.K.),75.7,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
22,pharmacology-toxicology,36,University of Queensland,Australia,Brisbane,74.8,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
23,pharmacology-toxicology,304,Sichuan University,China,Chengdu,74.1,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145
24,pharmacology-toxicology,517,Tehran University of Medical Sciences,Iran,Tehran,74.1,50.6,"11,605",https://www.usnews.com/education/best-global-universities/tehran-university-of-medical-sciences-503294
25,pharmacology-toxicology,6,University of Washington Seattle,United States,Seattle,74,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
26,pharmacology-toxicology,18,University of Toronto,Canada,Toronto,73.5,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
27,pharmacology-toxicology,28,University of Sydney,Australia,Sydney,73.4,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
28,pharmacology-toxicology,120,Universidade de Sao Paulo,Brazil,Sao Paulo,73.1,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
29,pharmacology-toxicology,50,KU Leuven,Belgium,Leuven,72.9,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
30,pharmacology-toxicology,5,University of Oxford,United Kingdom,Oxford,72.7,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
31,pharmacology-toxicology,48,Universite de Paris,France,Paris,72.6,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
32,pharmacology-toxicology,19,University of Michigan,United States,Ann Arbor,71.2,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
33,pharmacology-toxicology,34,University of Edinburgh,United Kingdom,Edinburgh,71.1,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
34,pharmacology-toxicology,87,Free University of Berlin,Germany,Berlin,71,71.7,"36,792",https://www.usnews.com/education/best-global-universities/free-university-of-berlin-502084
35,pharmacology-toxicology,74,Leiden University,Netherlands,Leiden,69.8,72.8,N/A,https://www.usnews.com/education/best-global-universities/leiden-university-503069
36,pharmacology-toxicology,8,University of Cambridge,United Kingdom,Cambridge (U.K.),69.6,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
37,pharmacology-toxicology,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,69.5,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
38,pharmacology-toxicology,213,King Saud University,Saudi Arabia,Riyadh,69.2,62.3,"33,931",https://www.usnews.com/education/best-global-universities/king-saud-university-503764
39,pharmacology-toxicology,"1,570",Shenyang Pharmaceutical University,China,Shenyang,68.9,26.2,N/A,https://www.usnews.com/education/best-global-universities/shenyang-pharmaceutical-university-501409
40,pharmacology-toxicology,14,University of California Los Angeles,United States,Los Angeles,68.4,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
41,pharmacology-toxicology,156,University of Milan,Italy,Milan,68.4,65.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-milan-506478
42,pharmacology-toxicology,15,University of Pennsylvania,United States,Philadelphia,68.4,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
43,pharmacology-toxicology,593,Peking Union Medical College,China,Beijing,68.2,48.4,N/A,https://www.usnews.com/education/best-global-universities/peking-union-medical-college-529794
44,pharmacology-toxicology,247,Universidade do Porto,Portugal,Porto,67.9,60.7,"33,484",https://www.usnews.com/education/best-global-universities/universidade-do-porto-505685
45,pharmacology-toxicology,178,Aix-Marseille Universite,France,Marseille,67.6,64.1,"70,054",https://www.usnews.com/education/best-global-universities/aix-marseille-universite-528917
46,pharmacology-toxicology,95,Ghent University,Belgium,Gent,67.4,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883
47,pharmacology-toxicology,65,King Abdulaziz University,Saudi Arabia,Jeddah,67.4,73.4,N/A,https://www.usnews.com/education/best-global-universities/king-abdulaziz-university-501597
48,pharmacology-toxicology,60,Universite Paris Saclay,France,Saint-Aubin,67.4,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
49,pharmacology-toxicology,98,University of Florida,United States,Gainesville,67.4,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130
50,pharmacology-toxicology,25,Duke University,United States,"Durham (North Carolina, U.S.)",67.1,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
51,pharmacology-toxicology,129,Seoul National University (SNU),South Korea,Seoul,66.8,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456
52,pharmacology-toxicology,363,Cairo University,Egypt,Giza,66.6,55.6,"208,524",https://www.usnews.com/education/best-global-universities/cairo-university-501834
53,pharmacology-toxicology,185,University of Naples Federico II,Italy,Naples,66.6,63.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-naples-federico-ii-505539
54,pharmacology-toxicology,143,Rutgers State University New Brunswick,United States,Piscataway Township,66.4,66.8,"46,158",https://www.usnews.com/education/best-global-universities/rutgers-state-university-new-brunswick-186380
55,pharmacology-toxicology,65,Erasmus University Rotterdam,Netherlands,Rotterdam,65.9,73.4,N/A,https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349
56,pharmacology-toxicology,86,University of Barcelona,Spain,Barcelona,65.9,71.8,"45,004",https://www.usnews.com/education/best-global-universities/university-of-barcelona-500261
57,pharmacology-toxicology,127,Uppsala University,Sweden,Uppsala,65.7,67.8,N/A,https://www.usnews.com/education/best-global-universities/uppsala-university-501990
58,pharmacology-toxicology,27,University of Melbourne,Australia,Parkville,65.4,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
59,pharmacology-toxicology,7,Columbia University,United States,New York City,65.2,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
60,pharmacology-toxicology,45,University of Pittsburgh,United States,Pittsburgh,64.4,75.6,"26,575",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293
61,pharmacology-toxicology,779,Mashhad University Medical Science,Iran,Mahshad,64.3,43.7,N/A,https://www.usnews.com/education/best-global-universities/mashhad-university-medical-science-529398
62,pharmacology-toxicology,55,University of Hong Kong,Hong Kong,Pok Fu Lam,64.2,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
63,pharmacology-toxicology,263,Sungkyunkwan University (SKKU),South Korea,Seoul,63.8,60,"23,399",https://www.usnews.com/education/best-global-universities/sungkyunkwan-university-skku-500193
64,pharmacology-toxicology,736,Nanjing Medical University,China,Gulou,63.7,44.7,"19,277",https://www.usnews.com/education/best-global-universities/nanjing-medical-university-500938
65,pharmacology-toxicology,125,Sapienza University Rome,Italy,Rome,63.7,68,"74,149",https://www.usnews.com/education/best-global-universities/sapienza-university-rome-506550
66,pharmacology-toxicology,203,National Taiwan University,Taiwan,Taipei,63.6,62.8,"25,215",https://www.usnews.com/education/best-global-universities/national-taiwan-university-504077
67,pharmacology-toxicology,140,Purdue University West Lafayette Campus,United States,West Lafayette,63.6,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
68,pharmacology-toxicology,33,King's College London,United Kingdom,London (U.K.),62.8,77.9,"29,240",https://www.usnews.com/education/best-global-universities/kings-college-london-500330
69,pharmacology-toxicology,21,Cornell University,United States,Ithaca,62.6,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
70,pharmacology-toxicology,"1,431",Shanghai University of Traditional Chinese Medicine,China,Shanghai,62.5,29.3,"11,937",https://www.usnews.com/education/best-global-universities/shanghai-university-of-traditional-chinese-medicine-529292
71,pharmacology-toxicology,368,Shandong University,China,Jinan,61.8,55.4,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-505166
72,pharmacology-toxicology,379,University of Macau,Macau,Taipa,61.4,55,"10,460",https://www.usnews.com/education/best-global-universities/university-of-macau-528951
73,pharmacology-toxicology,11,Yale University,United States,New Haven,60.8,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
74,pharmacology-toxicology,99,University of Helsinki,Finland,Helsinki,60.2,70.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-helsinki-501989
75,pharmacology-toxicology,55,Ohio State University,United States,Columbus,60,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
76,pharmacology-toxicology,88,University of Groningen,Netherlands,Groningen,60,71.5,"30,009",https://www.usnews.com/education/best-global-universities/university-of-groningen-500967
