,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,physical-chemistry,30,Nanyang Technological University,Singapore,Singapore,100,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
2,physical-chemistry,23,Tsinghua University,China,Beijing,95.2,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
3,physical-chemistry,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,94.2,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
4,physical-chemistry,342,Wuhan University of Technology,China,Wuhan,93.8,56.4,"55,426",https://www.usnews.com/education/best-global-universities/wuhan-university-of-technology-506361
5,physical-chemistry,51,Georgia Institute of Technology,United States,Atlanta,93.5,74.9,N/A,https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755
6,physical-chemistry,3,Stanford University,United States,Stanford,93,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
7,physical-chemistry,311,Soochow University - China,China,Suzhou,92.4,57.9,"49,131",https://www.usnews.com/education/best-global-universities/soochow-university-china-506714
8,physical-chemistry,102,"University of Science & Technology of China, CAS",China,Hefei,91.4,70.1,"18,573",https://www.usnews.com/education/best-global-universities/university-of-science-technology-of-china-cas-505547
9,physical-chemistry,39,Peking University,China,Beijing,89.6,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
10,physical-chemistry,26,National University of Singapore,Singapore,Singapore,86.6,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
11,physical-chemistry,120,City University of Hong Kong,Hong Kong,Kowloon,86.2,68.5,"9,099",https://www.usnews.com/education/best-global-universities/city-university-of-hong-kong-502667
12,physical-chemistry,109,Huazhong University of Science & Technology,China,Wuhan,86.2,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
13,physical-chemistry,260,Tianjin University,China,Tianjin,86,60.2,N/A,https://www.usnews.com/education/best-global-universities/tianjin-university-503557
14,physical-chemistry,186,University of Wollongong,Australia,Wollongong,86,63.6,"19,169",https://www.usnews.com/education/best-global-universities/university-of-wollongong-503195
15,physical-chemistry,385,Zhengzhou University,China,Zhengzhou,85.9,54.9,N/A,https://www.usnews.com/education/best-global-universities/zhengzhou-university-502623
16,physical-chemistry,95,King Abdullah University of Science & Technology,Saudi Arabia,Thuwal,85.1,70.6,N/A,https://www.usnews.com/education/best-global-universities/king-abdullah-university-of-science-technology-510489
17,physical-chemistry,93,Zhejiang University,China,Hangzhou,85.1,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
18,physical-chemistry,65,King Abdulaziz University,Saudi Arabia,Jeddah,84.3,73.4,N/A,https://www.usnews.com/education/best-global-universities/king-abdulaziz-university-501597
