,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,plant-animal-science,89,Wageningen University & Research,Netherlands,Wageningen,100,71.3,"15,404",https://www.usnews.com/education/best-global-universities/wageningen-university-research-501112
2,plant-animal-science,73,University of California Davis,United States,Davis,99.9,72.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644
3,plant-animal-science,21,Cornell University,United States,Ithaca,98.8,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
4,plant-animal-science,98,University of Florida,United States,Gainesville,95,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130
5,plant-animal-science,4,University of California Berkeley,United States,Berkeley,93.7,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
6,plant-animal-science,332,China Agricultural University,China,Beijing,91.5,56.9,N/A,https://www.usnews.com/education/best-global-universities/china-agricultural-university-500688
7,plant-animal-science,83,University of Western Australia,Australia,Crawley,91.4,72.2,"18,405",https://www.usnews.com/education/best-global-universities/university-of-western-australia-503979
8,plant-animal-science,35,University of British Columbia,Canada,Vancouver,91,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
9,plant-animal-science,95,Ghent University,Belgium,Gent,90.9,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883
10,plant-animal-science,483,Nanjing Agricultural University,China,Nanjing,90.6,52,"28,184",https://www.usnews.com/education/best-global-universities/nanjing-agricultural-university-506399
11,plant-animal-science,116,Michigan State University,United States,East Lansing,89.6,68.8,"45,465",https://www.usnews.com/education/best-global-universities/michigan-state-university-171100
12,plant-animal-science,356,Swedish University of Agricultural Sciences,Sweden,Uppsala,89.4,55.8,N/A,https://www.usnews.com/education/best-global-universities/swedish-university-of-agricultural-sciences-503091
13,plant-animal-science,8,University of Cambridge,United Kingdom,Cambridge (U.K.),89,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
14,plant-animal-science,42,University of Copenhagen,Denmark,Copenhagen,88.7,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
15,plant-animal-science,120,Universidade de Sao Paulo,Brazil,Sao Paulo,88.3,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
16,plant-animal-science,93,Zhejiang University,China,Hangzhou,87.4,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
17,plant-animal-science,1,Harvard University,United States,Cambridge (U.S.),87,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
18,plant-animal-science,501,Huazhong Agricultural University,China,Wuhan,86.8,51.2,N/A,https://www.usnews.com/education/best-global-universities/huazhong-agricultural-university-503034
19,plant-animal-science,57,University of Minnesota Twin Cities,United States,Minneapolis,86.7,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
20,plant-animal-science,36,University of Queensland,Australia,Brisbane,86.1,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
21,plant-animal-science,25,Duke University,United States,"Durham (North Carolina, U.S.)",85.3,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
22,plant-animal-science,5,University of Oxford,United Kingdom,Oxford,85.3,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
