,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,public-environmental-occupational-health,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,public-environmental-occupational-health,129,London School of Hygiene & Tropical Medicine,United Kingdom,London (U.K.),92.6,67.5,N/A,https://www.usnews.com/education/best-global-universities/london-school-of-hygiene-tropical-medicine-503353
3,public-environmental-occupational-health,10,Johns Hopkins University,United States,Baltimore,91.1,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
4,public-environmental-occupational-health,5,University of Oxford,United Kingdom,Oxford,86.3,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
5,public-environmental-occupational-health,12,University College London,United Kingdom,London (U.K.),86,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
6,public-environmental-occupational-health,13,Imperial College London,United Kingdom,London (U.K.),85.1,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
7,public-environmental-occupational-health,6,University of Washington Seattle,United States,Seattle,83.4,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
8,public-environmental-occupational-health,16,University of California San Francisco,United States,San Francisco,80.2,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
9,public-environmental-occupational-health,7,Columbia University,United States,New York City,80.1,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
10,public-environmental-occupational-health,18,University of Toronto,Canada,Toronto,79,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
11,public-environmental-occupational-health,3,Stanford University,United States,Stanford,78.9,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
12,public-environmental-occupational-health,8,University of Cambridge,United Kingdom,Cambridge (U.K.),78.9,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
13,public-environmental-occupational-health,34,University of Edinburgh,United Kingdom,Edinburgh,78.7,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
14,public-environmental-occupational-health,27,University of Melbourne,Australia,Parkville,78.6,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
15,public-environmental-occupational-health,72,Emory University,United States,Atlanta,78.1,73,"13,190",https://www.usnews.com/education/best-global-universities/emory-university-139658
16,public-environmental-occupational-health,41,University of North Carolina Chapel Hill,United States,Chapel Hill,77.3,76.7,"30,845",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120
17,public-environmental-occupational-health,93,University of Bristol,United Kingdom,Bristol,77.2,70.7,"25,660",https://www.usnews.com/education/best-global-universities/university-of-bristol-505342
18,public-environmental-occupational-health,33,King's College London,United Kingdom,London (U.K.),76.8,77.9,"29,240",https://www.usnews.com/education/best-global-universities/kings-college-london-500330
19,public-environmental-occupational-health,215,University of Ottawa,Canada,Ottawa,74.9,62.2,"36,670",https://www.usnews.com/education/best-global-universities/university-of-ottawa-499972
20,public-environmental-occupational-health,55,University of Hong Kong,Hong Kong,Pok Fu Lam,74.7,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
21,public-environmental-occupational-health,51,Karolinska Institutet,Sweden,Stockholm,74.2,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
