,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,radiology-nuclear-medicine-medical-imaging,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,radiology-nuclear-medicine-medical-imaging,3,Stanford University,United States,Stanford,89.6,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
3,radiology-nuclear-medicine-medical-imaging,12,University College London,United Kingdom,London (U.K.),87.9,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
4,radiology-nuclear-medicine-medical-imaging,106,Radboud University Nijmegen,Netherlands,Nijmegen,86.6,69.4,"21,979",https://www.usnews.com/education/best-global-universities/radboud-university-nijmegen-501519
5,radiology-nuclear-medicine-medical-imaging,10,Johns Hopkins University,United States,Baltimore,85.2,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
6,radiology-nuclear-medicine-medical-imaging,13,Imperial College London,United Kingdom,London (U.K.),84.8,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
7,radiology-nuclear-medicine-medical-imaging,33,King's College London,United Kingdom,London (U.K.),84.4,77.9,"29,240",https://www.usnews.com/education/best-global-universities/kings-college-london-500330
8,radiology-nuclear-medicine-medical-imaging,57,Ruprecht Karls University Heidelberg,Germany,Heidelberg,81.7,74.3,"19,347",https://www.usnews.com/education/best-global-universities/ruprecht-karls-university-heidelberg-506277
9,radiology-nuclear-medicine-medical-imaging,18,University of Toronto,Canada,Toronto,81.4,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
10,radiology-nuclear-medicine-medical-imaging,5,University of Oxford,United Kingdom,Oxford,81.2,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
11,radiology-nuclear-medicine-medical-imaging,16,University of California San Francisco,United States,San Francisco,80.7,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
12,radiology-nuclear-medicine-medical-imaging,15,University of Pennsylvania,United States,Philadelphia,79.6,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
13,radiology-nuclear-medicine-medical-imaging,47,University of Munich,Germany,Munich,79.5,75.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-munich-500951
14,radiology-nuclear-medicine-medical-imaging,74,Leiden University,Netherlands,Leiden,78.9,72.8,N/A,https://www.usnews.com/education/best-global-universities/leiden-university-503069
15,radiology-nuclear-medicine-medical-imaging,109,Huazhong University of Science & Technology,China,Wuhan,78.5,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
16,radiology-nuclear-medicine-medical-imaging,25,Duke University,United States,"Durham (North Carolina, U.S.)",78,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
17,radiology-nuclear-medicine-medical-imaging,79,Technical University of Munich,Germany,Munich,78,72.6,"33,960",https://www.usnews.com/education/best-global-universities/technical-university-of-munich-503109
18,radiology-nuclear-medicine-medical-imaging,46,Icahn School of Medicine at Mount Sinai,United States,New York City,77.6,75.4,N/A,https://www.usnews.com/education/best-global-universities/icahn-school-of-medicine-at-mount-sinai-193405
19,radiology-nuclear-medicine-medical-imaging,206,Medical University of Vienna,Austria,Vienna,74.3,62.7,"7,274",https://www.usnews.com/education/best-global-universities/medical-university-of-vienna-504165
20,radiology-nuclear-medicine-medical-imaging,11,Yale University,United States,New Haven,74,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
21,radiology-nuclear-medicine-medical-imaging,14,University of California Los Angeles,United States,Los Angeles,73.8,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
