,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,space-science,9,California Institute of Technology,United States,Pasadena,100,85.6,"2,237",https://www.usnews.com/education/best-global-universities/california-institute-of-technology-110404
2,space-science,1,Harvard University,United States,Cambridge (U.S.),97.8,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
3,space-science,4,University of California Berkeley,United States,Berkeley,94.7,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
4,space-science,8,University of Cambridge,United Kingdom,Cambridge (U.K.),88.6,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
5,space-science,16,Princeton University,United States,Princeton,88.4,83.9,N/A,https://www.usnews.com/education/best-global-universities/princeton-university-186131
6,space-science,74,Leiden University,Netherlands,Leiden,87.3,72.8,N/A,https://www.usnews.com/education/best-global-universities/leiden-university-503069
7,space-science,48,Sorbonne Universite,France,Paris,86.9,75.2,"44,649",https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569
8,space-science,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),85.9,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
9,space-science,81,University of Tokyo,Japan,Tokyo,84.8,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
10,space-science,108,University of Arizona,United States,Tucson,84.6,69.2,"39,797",https://www.usnews.com/education/best-global-universities/university-of-arizona-104179
11,space-science,22,University of Chicago,United States,Chicago,84.6,82.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-chicago-144050
12,space-science,18,University of Toronto,Canada,Toronto,82.6,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
13,space-science,48,Universite de Paris,France,Paris,80.9,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
14,space-science,105,University of California Santa Cruz,United States,Santa Cruz,80.5,69.5,"19,494",https://www.usnews.com/education/best-global-universities/university-of-california-santa-cruz-110714
15,space-science,3,Stanford University,United States,Stanford,80,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
16,space-science,60,Universite Paris Saclay,France,Saint-Aubin,79.3,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
17,space-science,115,University of Padua,Italy,Padua,78.7,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381
18,space-science,109,University of Geneva,Switzerland,Geneva,77.6,69.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-geneva-504635
19,space-science,55,Ohio State University,United States,Columbus,76.7,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
20,space-science,5,University of Oxford,United Kingdom,Oxford,76.2,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
21,space-science,106,Radboud University Nijmegen,Netherlands,Nijmegen,76.1,69.4,"21,979",https://www.usnews.com/education/best-global-universities/radboud-university-nijmegen-501519
22,space-science,19,University of Michigan,United States,Ann Arbor,76,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
23,space-science,10,Johns Hopkins University,United States,Baltimore,75.9,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
24,space-science,6,University of Washington Seattle,United States,Seattle,75.4,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
25,space-science,57,Ruprecht Karls University Heidelberg,Germany,Heidelberg,74.7,74.3,"19,347",https://www.usnews.com/education/best-global-universities/ruprecht-karls-university-heidelberg-506277
26,space-science,34,University of Edinburgh,United Kingdom,Edinburgh,74.1,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
27,space-science,74,University of Illinois Urbana-Champaign,United States,Champaign,73.8,72.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-urbana-champaign-145637
28,space-science,84,Pennsylvania State University,United States,University Park,73.4,71.9,"46,863",https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777
29,space-science,12,University College London,United Kingdom,London (U.K.),73.4,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
30,space-science,67,University of California Santa Barbara,United States,Santa Barbara,73.3,73.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-santa-barbara-110705
31,space-science,345,University of Warsaw,Poland,Warsaw,73.1,56.3,"37,090",https://www.usnews.com/education/best-global-universities/university-of-warsaw-502726
32,space-science,57,University of Maryland College Park,United States,College Park,72.4,74.3,"33,775",https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286
33,space-science,43,University of Texas Austin,United States,Austin,71.9,75.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-austin-228778
34,space-science,62,Australian National University,Australia,Canberra,71.3,73.9,"16,758",https://www.usnews.com/education/best-global-universities/australian-national-university-503825
35,space-science,42,University of Copenhagen,Denmark,Copenhagen,70.6,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
36,space-science,39,Peking University,China,Beijing,69.5,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
