,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,surgery,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,surgery,10,Johns Hopkins University,United States,Baltimore,90.8,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
3,surgery,39,University of Amsterdam,Netherlands,Amsterdam,85.7,76.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-amsterdam-502957
4,surgery,18,University of Toronto,Canada,Toronto,83.9,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
5,surgery,45,University of Pittsburgh,United States,Pittsburgh,83.8,75.6,"26,575",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293
6,surgery,12,University College London,United Kingdom,London (U.K.),81.4,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
7,surgery,3,Stanford University,United States,Stanford,80.8,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
8,surgery,19,University of Michigan,United States,Ann Arbor,80.3,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
9,surgery,15,University of Pennsylvania,United States,Philadelphia,80,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
10,surgery,16,University of California San Francisco,United States,San Francisco,79,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
11,surgery,65,Erasmus University Rotterdam,Netherlands,Rotterdam,78.9,73.4,N/A,https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349
12,surgery,6,University of Washington Seattle,United States,Seattle,78.1,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
13,surgery,32,Washington University (WUSTL),United States,St. Louis,76.1,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
14,surgery,13,Imperial College London,United Kingdom,London (U.K.),74.9,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
15,surgery,51,Karolinska Institutet,Sweden,Stockholm,74.4,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
16,surgery,33,King's College London,United Kingdom,London (U.K.),73.7,77.9,"29,240",https://www.usnews.com/education/best-global-universities/kings-college-london-500330
17,surgery,48,Universite de Paris,France,Paris,73.1,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
18,surgery,55,Ohio State University,United States,Columbus,72.6,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
19,surgery,34,University of Edinburgh,United Kingdom,Edinburgh,72.6,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
20,surgery,25,Duke University,United States,"Durham (North Carolina, U.S.)",72.1,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
21,surgery,89,University of Oslo,Norway,Oslo,72,71.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-oslo-502680
22,surgery,5,University of Oxford,United Kingdom,Oxford,72,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
23,surgery,72,Emory University,United States,Atlanta,71.3,73,"13,190",https://www.usnews.com/education/best-global-universities/emory-university-139658
24,surgery,50,KU Leuven,Belgium,Leuven,71.2,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
25,surgery,314,Vita-Salute San Raffaele University,Italy,Milan,71.1,57.7,N/A,https://www.usnews.com/education/best-global-universities/vita-salute-san-raffaele-university-501347
26,surgery,89,University of Birmingham,United Kingdom,Birmingham (U.K.),70.9,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
27,surgery,8,University of Cambridge,United Kingdom,Cambridge (U.K.),70.8,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
28,surgery,7,Columbia University,United States,New York City,70.3,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
29,surgery,82,Vrije Universiteit Amsterdam,Netherlands,Amsterdam,70.1,72.3,N/A,https://www.usnews.com/education/best-global-universities/vrije-universiteit-amsterdam-500669
30,surgery,14,University of California Los Angeles,United States,Los Angeles,68.7,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
31,surgery,468,University of Verona,Italy,Verona,68.7,52.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-verona-503896
32,surgery,44,Utrecht University,Netherlands,Utrecht,68.6,75.7,"32,532",https://www.usnews.com/education/best-global-universities/utrecht-university-505962
33,surgery,21,Cornell University,United States,Ithaca,68.2,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
34,surgery,160,University of Alabama Birmingham,United States,Birmingham (U.S.),67.3,65.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-alabama-birmingham-100663
35,surgery,86,University of Barcelona,Spain,Barcelona,67.1,71.8,"45,004",https://www.usnews.com/education/best-global-universities/university-of-barcelona-500261
36,surgery,24,Northwestern University,United States,Evanston,66.9,81.2,"18,803",https://www.usnews.com/education/best-global-universities/northwestern-university-147767
37,surgery,57,Ruprecht Karls University Heidelberg,Germany,Heidelberg,66.9,74.3,"19,347",https://www.usnews.com/education/best-global-universities/ruprecht-karls-university-heidelberg-506277
38,surgery,31,New York University,United States,New York City,66.5,78.5,"36,337",https://www.usnews.com/education/best-global-universities/new-york-university-193900
39,surgery,100,Queen Mary University London,United Kingdom,London (U.K.),66.5,70.2,"20,485",https://www.usnews.com/education/best-global-universities/queen-mary-university-london-503389
40,surgery,78,Vanderbilt University,United States,Nashville,66.3,72.7,N/A,https://www.usnews.com/education/best-global-universities/vanderbilt-university-221999
41,surgery,28,University of Sydney,Australia,Sydney,65,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
42,surgery,42,University of Copenhagen,Denmark,Copenhagen,64.5,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
43,surgery,366,Catholic University of the Sacred Heart,Italy,Milan,64.3,55.5,N/A,https://www.usnews.com/education/best-global-universities/catholic-university-of-the-sacred-heart-503167
44,surgery,149,University of Hamburg,Germany,Hamburg,64.3,66.3,"30,676",https://www.usnews.com/education/best-global-universities/university-of-hamburg-501079
45,surgery,57,University of Minnesota Twin Cities,United States,Minneapolis,64,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
46,surgery,46,Icahn School of Medicine at Mount Sinai,United States,New York City,63.9,75.4,N/A,https://www.usnews.com/education/best-global-universities/icahn-school-of-medicine-at-mount-sinai-193405
47,surgery,11,Yale University,United States,New Haven,63.7,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
48,surgery,167,University of Utah,United States,Salt Lake City,63.5,65.4,"30,967",https://www.usnews.com/education/best-global-universities/university-of-utah-230764
49,surgery,175,University of Calgary,Canada,Calgary,63.4,64.2,"33,560",https://www.usnews.com/education/best-global-universities/university-of-calgary-499975
50,surgery,119,University of Virginia,United States,Charlottesville,63.4,68.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-virginia-234076
51,surgery,95,Ghent University,Belgium,Gent,62.9,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883
52,surgery,206,Medical University of Vienna,Austria,Vienna,62.2,62.7,"7,274",https://www.usnews.com/education/best-global-universities/medical-university-of-vienna-504165
53,surgery,122,University of Bologna,Italy,Bologna,62.2,68.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-bologna-502210
54,surgery,106,Radboud University Nijmegen,Netherlands,Nijmegen,61.8,69.4,"21,979",https://www.usnews.com/education/best-global-universities/radboud-university-nijmegen-501519
55,surgery,356,University of Colorado Denver,United States,Denver,61.5,55.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-colorado-denver-126562
56,surgery,107,University of Bern,Switzerland,Bern,61.2,69.3,"11,740",https://www.usnews.com/education/best-global-universities/university-of-bern-505657
57,surgery,405,Jefferson University,United States,Philadelphia,61,54.3,N/A,https://www.usnews.com/education/best-global-universities/jefferson-university-216366
58,surgery,203,University of Cincinnati,United States,Cincinnati,60.8,62.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-cincinnati-201885
59,surgery,54,McGill University,Canada,Montreal,60.6,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
60,surgery,87,Free University of Berlin,Germany,Berlin,60.5,71.7,"36,792",https://www.usnews.com/education/best-global-universities/free-university-of-berlin-502084
61,surgery,61,Humboldt University of Berlin,Germany,Berlin,60.4,74,"34,399",https://www.usnews.com/education/best-global-universities/humboldt-university-of-berlin-506698
62,surgery,74,Leiden University,Netherlands,Leiden,60.3,72.8,N/A,https://www.usnews.com/education/best-global-universities/leiden-university-503069
63,surgery,186,Maastricht University,Netherlands,Maastricht,60.3,63.6,N/A,https://www.usnews.com/education/best-global-universities/maastricht-university-505759
64,surgery,53,Chinese University of Hong Kong,Hong Kong,Shatin,60.2,74.7,"18,468",https://www.usnews.com/education/best-global-universities/chinese-university-of-hong-kong-502973
65,surgery,60,Universite Paris Saclay,France,Saint-Aubin,59.8,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
66,surgery,966,University of Insubria,Italy,Varese,59.8,39.5,"9,789",https://www.usnews.com/education/best-global-universities/university-of-insubria-528983
67,surgery,835,Yokohama City University,Japan,Yokohama,59.8,42.3,N/A,https://www.usnews.com/education/best-global-universities/yokohama-city-university-529035
68,surgery,133,University of Texas Southwestern Medical Center Dallas,United States,Dallas,59.6,67.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-southwestern-medical-center-dallas-228635
69,surgery,136,Baylor College of Medicine,United States,Houston,59.4,67.1,N/A,https://www.usnews.com/education/best-global-universities/baylor-college-of-medicine-223223
70,surgery,486,Rush University,United States,Chicago,58.8,51.8,N/A,https://www.usnews.com/education/best-global-universities/rush-university-148511
71,surgery,165,Oregon Health & Science University,United States,Portland,58.6,65.5,N/A,https://www.usnews.com/education/best-global-universities/oregon-health-science-university-209490
72,surgery,174,University of Colorado Anschutz Medical Campus,United States,Aurora,58.6,64.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-colorado-anschutz-medical-campus-529678
73,surgery,88,University of Groningen,Netherlands,Groningen,58.4,71.5,"30,009",https://www.usnews.com/education/best-global-universities/university-of-groningen-500967
74,surgery,80,University of Southern California,United States,Los Angeles,58.1,72.5,"42,502",https://www.usnews.com/education/best-global-universities/university-of-southern-california-123961
75,surgery,115,University of Padua,Italy,Padua,57.9,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381
76,surgery,22,University of Chicago,United States,Chicago,57.8,82.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-chicago-144050
77,surgery,35,University of British Columbia,Canada,Vancouver,57.7,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
78,surgery,99,University of Helsinki,Finland,Helsinki,57.6,70.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-helsinki-501989
79,surgery,98,University of Florida,United States,Gainesville,57.4,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130
80,surgery,219,University of Pisa,Italy,Pisa,57.3,61.9,"34,459",https://www.usnews.com/education/best-global-universities/university-of-pisa-501006
81,surgery,156,Newcastle University - UK,United Kingdom,Newcastle upon Tyne,57.1,65.9,"26,920",https://www.usnews.com/education/best-global-universities/newcastle-university-uk-503247
82,surgery,136,University of Alberta,Canada,Edmonton,57.1,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
83,surgery,156,University of Milan,Italy,Milan,57.1,65.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-milan-506478
84,surgery,129,Seoul National University (SNU),South Korea,Seoul,57,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456
85,surgery,269,University of Texas Health Science Center Houston,United States,Houston,56.6,59.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-health-science-center-houston-229300
86,surgery,439,Virginia Commonwealth University,United States,Richmond,56.5,53.5,N/A,https://www.usnews.com/education/best-global-universities/virginia-commonwealth-university-234030
