,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,water-resources,112,University of Technology Sydney,Australia,Ultimo,100,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
2,water-resources,23,Tsinghua University,China,Beijing,95,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
3,water-resources,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,93.7,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
4,water-resources,29,ETH Zurich,Switzerland,Zurich,91.9,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
5,water-resources,169,Delft University of Technology,Netherlands,Delft,91.6,65.1,N/A,https://www.usnews.com/education/best-global-universities/delft-university-of-technology-505496
6,water-resources,653,Hohai University,China,Nanjing,88.2,46.8,N/A,https://www.usnews.com/education/best-global-universities/hohai-university-528997
7,water-resources,89,Wageningen University & Research,Netherlands,Wageningen,88,71.3,"15,404",https://www.usnews.com/education/best-global-universities/wageningen-university-research-501112
8,water-resources,590,Northwest A&F University - China,China,Shaanxi,87.3,48.5,N/A,https://www.usnews.com/education/best-global-universities/northwest-af-university-china-503600
9,water-resources,148,Texas A&M University College Station,United States,College Station,85.8,66.5,"62,931",https://www.usnews.com/education/best-global-universities/texas-am-university-college-station-228723
10,water-resources,989,Chang'an University,China,Xi'an,80.5,39,N/A,https://www.usnews.com/education/best-global-universities/changan-university-529427
11,water-resources,269,Beijing Normal University,China,Beijing,79.5,59.7,N/A,https://www.usnews.com/education/best-global-universities/beijing-normal-university-506588
12,water-resources,150,Wuhan University,China,Wuhan,79.4,66.2,N/A,https://www.usnews.com/education/best-global-universities/wuhan-university-503252
13,water-resources,93,University of Bristol,United Kingdom,Bristol,78,70.7,"25,660",https://www.usnews.com/education/best-global-universities/university-of-bristol-505342
14,water-resources,196,Tongji University,China,Shanghai,76.4,63.2,"30,153",https://www.usnews.com/education/best-global-universities/tongji-university-501326
15,water-resources,36,University of Queensland,Australia,Brisbane,75.5,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
16,water-resources,625,University of Tabriz,Iran,Tabriz,75.2,47.7,"20,983",https://www.usnews.com/education/best-global-universities/university-of-tabriz-528957
